figure_panel,record_type,record_id,order_index,family,edge,contour_kind,center_real,center_imag,half_real,half_imag,theta_center_pi,theta_half_pi,d_depth,d_index,d_lower,d_upper,lambda_depth,lambda_index,lambda_lower,lambda_upper,certified_bound_name,bound_raw,bound_midpoint,bound_radius,bound_lower_endpoint,threshold,strict_margin,upstream_path,upstream_sha256
B,contour_panel,G-bottom-00,1,global,bottom,line,1/8,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[37.668265757080384171965615982815510490772568073463121898563837226714188442853368 +/- 3.92e-79],37.668265757080384171965615982815510490772568073463121898563837226714188442853368,0.000000000000000000000000000000000000000000000000000000000000000000000000000000392,37.668265757080384171965615982815510490772568073463121898563837226714188442853367608,0,37.668265757080384171965615982815510490772568073463121898563837226714188442853367608,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-01,2,global,bottom,line,31/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[31.645426687247243399747795035468198329925094625529668111940781412182875720160360 +/- 4.94e-79],31.645426687247243399747795035468198329925094625529668111940781412182875720160360,0.000000000000000000000000000000000000000000000000000000000000000000000000000000494,31.645426687247243399747795035468198329925094625529668111940781412182875720160359506,0,31.645426687247243399747795035468198329925094625529668111940781412182875720160359506,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-02,3,global,bottom,line,37/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[27.670335805497193677361171023662518688012948697223714668465546905048011588953069 +/- 3.45e-79],27.670335805497193677361171023662518688012948697223714668465546905048011588953069,0.000000000000000000000000000000000000000000000000000000000000000000000000000000345,27.670335805497193677361171023662518688012948697223714668465546905048011588953068655,0,27.670335805497193677361171023662518688012948697223714668465546905048011588953068655,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-03,4,global,bottom,line,43/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[24.955074298257681979166863753113925368686352702004708685813028481437498820962996 +/- 7.04e-80],24.955074298257681979166863753113925368686352702004708685813028481437498820962996,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000704,24.9550742982576819791668637531139253686863527020047086858130284814374988209629959296,0,24.9550742982576819791668637531139253686863527020047086858130284814374988209629959296,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-04,5,global,bottom,line,49/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[23.046933224646123295168819176339533738127840259153830579514284664003751808643364 +/- 2.97e-79],23.046933224646123295168819176339533738127840259153830579514284664003751808643364,0.000000000000000000000000000000000000000000000000000000000000000000000000000000297,23.046933224646123295168819176339533738127840259153830579514284664003751808643363703,0,23.046933224646123295168819176339533738127840259153830579514284664003751808643363703,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-05,6,global,bottom,line,11/40,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[21.678594270790420158244820384274798209615219856625659769126889952209565206103231 +/- 4.21e-79],21.678594270790420158244820384274798209615219856625659769126889952209565206103231,0.000000000000000000000000000000000000000000000000000000000000000000000000000000421,21.678594270790420158244820384274798209615219856625659769126889952209565206103230579,0,21.678594270790420158244820384274798209615219856625659769126889952209565206103230579,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-06,7,global,bottom,line,61/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[20.685326528304642721899285487252297940974115933430356103537583956424240432834574 +/- 4.97e-79],20.685326528304642721899285487252297940974115933430356103537583956424240432834574,0.000000000000000000000000000000000000000000000000000000000000000000000000000000497,20.685326528304642721899285487252297940974115933430356103537583956424240432834573503,0,20.685326528304642721899285487252297940974115933430356103537583956424240432834573503,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-07,8,global,bottom,line,67/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[19.960644398086855354021176749828867574019954444482271782997771657445616823037097 +/- 4.18e-79],19.960644398086855354021176749828867574019954444482271782997771657445616823037097,0.000000000000000000000000000000000000000000000000000000000000000000000000000000418,19.960644398086855354021176749828867574019954444482271782997771657445616823037096582,0,19.960644398086855354021176749828867574019954444482271782997771657445616823037096582,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-bottom-08,9,global,bottom,line,73/200,-19/50,3/200,0/1,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[19.432189709328284386737101999739848595365669521258069800876462853436302148594060 +/- 1.71e-79],19.432189709328284386737101999739848595365669521258069800876462853436302148594060,0.000000000000000000000000000000000000000000000000000000000000000000000000000000171,19.432189709328284386737101999739848595365669521258069800876462853436302148594059829,0,19.432189709328284386737101999739848595365669521258069800876462853436302148594059829,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
B,contour_panel,G-right-00,10,global,right,line,19/50,-9/25,0/1,1/50,,,,,0,0.002222222222222222222222222222222222222222222222222222222222222222222222,,,,,minimumAbsoluteLower,[18.109381396825089349287747132060691510462601878234402707700717602481985146778947 +/- 3.55e-80],18.109381396825089349287747132060691510462601878234402707700717602481985146778947,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000355,18.1093813968250893492877471320606915104626018782344027077007176024819851467789469645,0,18.1093813968250893492877471320606915104626018782344027077007176024819851467789469645,experiments/r073j/contour_certificate.json,60c770beaf0dc9a3da99ba6ab7bff234b506aa7d8bc72a0aad7b55471b571a38
