record_type,family,m,N,q,s,k1,k2,k3,coefficient_sign,coefficient_modulus,r,unscaled_dirichlet_guide,unscaled_rudin_shapiro_guide,unscaled_ratio_guide,scaled_l2_guide,scaled_dirichlet_heat_guide,scaled_rudin_shapiro_heat_guide,scaled_hhalf_guide
positive_fourier_packet,Dirichlet,8,64,0,0,64,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,1,64,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,2,64,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,3,64,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,4,64,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,5,64,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,6,64,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,0,7,64,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,0,65,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,1,65,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,2,65,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,3,65,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,4,65,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,5,65,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,6,65,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,1,7,65,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,0,66,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,1,66,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,2,66,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,3,66,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,4,66,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,5,66,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,2,6,66,6,0,1,0.088388347648318433,,,,,,,,
