panel,series,parameter,x,y,quantity_class,source_origin,source_record_type,source_family,formula
A,exact_theta,4,15,5.4765625,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,4,15,10.444994034973165,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,4,15,1.0650704202070398,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
A,exact_theta,16,63,8.40020751953125,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,16,63,22.121891898525835,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,16,63,2.1827448316282876,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
A,exact_theta,64,255,11.182379245758057,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,64,255,40.830836044991024,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,64,255,4.3913978412346113,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
A,exact_theta,256,1023,15.743463326245546,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,256,1023,75.953994740450028,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,256,1023,8.7957020754457123,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
A,exact_theta,1024,4095,24.585606104141334,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,1024,4095,145.13685119677342,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,1024,4095,17.597851431353774,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
A,exact_theta,4096,16383,42.196369537897453,exact,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Theta_m
A,autocorrelation_certificate,4096,16383,283.00245990106799,rigorous-upper-bound,sealed-r073s-certificate,asymptotically_fixed_quartic_spike,Dirichlet-spike,Gamma_m^(3/2)*sqrt(D_C)
A,sharp_asymptotic_guide,4096,16383,35.198925764858224,analytic-asymptotic-guide,exact-formula,asymptotically_fixed_quartic_spike,Dirichlet-spike,(11/40)*sqrt(D_C)
B,D_certificate,0,1,1.2009369551760027,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,0,1,1.1649930507507129,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,0,1,1.2009369551760027,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,0,1,1.1649930507507129,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,1,2,1.0911236359717214,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,1,2,0.99605504741461182,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,1,2,1.0911236359717214,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,1,2,0.99605504741461182,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,2,4,1.0599314451342881,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,2,4,0.96390155395415844,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,2,4,0.67411273370949532,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,2,4,0.55713788362354388,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,3,8,1.0518400498525864,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,3,8,0.95678608547196342,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,3,8,0.4837096362568894,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,3,8,0.37444064808001043,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,4,16,1.0497976368500077,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,4,16,0.95506994459991246,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,4,16,0.31895445574334147,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,4,16,0.22873041436241962,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,5,32,1.0492857900419803,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
