panel,series,record,x,y,x_name,y_name,formula,evidence_class,source_primary_path,source_independent_path,normalization,note
A,characteristic-c-0.5,sample-000,0,0.5,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-001,0.0083333333333333332,0.49166666666666664,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-002,0.016666666666666666,0.48333333333333334,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-003,0.025000000000000001,0.47499999999999998,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-004,0.033333333333333333,0.46666666666666667,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-005,0.041666666666666664,0.45833333333333331,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-006,0.050000000000000003,0.45000000000000001,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-007,0.058333333333333334,0.44166666666666665,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-008,0.066666666666666666,0.43333333333333335,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-009,0.074999999999999997,0.42499999999999999,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-010,0.083333333333333329,0.41666666666666669,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-011,0.09166666666666666,0.40833333333333333,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-012,0.10000000000000001,0.40000000000000002,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-013,0.10833333333333334,0.39166666666666666,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-014,0.11666666666666667,0.3833333333333333,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-015,0.125,0.375,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-016,0.13333333333333333,0.3666666666666667,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-017,0.14166666666666666,0.35833333333333334,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-018,0.14999999999999999,0.34999999999999998,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-019,0.15833333333333333,0.34166666666666667,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-020,0.16666666666666666,0.33333333333333337,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
A,characteristic-c-0.5,sample-021,0.17499999999999999,0.32500000000000001,t,s,s+nu*t=c,exact-characteristic-renderer-coordinate,research/r073w_signed_production_heat_characteristic.md#eq-3.5,research/r073w_independent_analytic_audit.md#section-2,drawing nu=1; identity valid for nu>0,neutral characteristic guide
