panel,record,exact_value,decimal_value,role,status,note
A,lambda,63/32,1.96875,parameter,PROVED,target radius lies in the dyadic annulus
A,c_h,15/16,0.9375,parameter,PROVED,vertical target fraction
A,alpha,14/15,0.93333333333333335,parameter,PROVED,reserved transition separation
A,beta_squared,31/256,0.12109375,parameter,PROVED,horizontal fraction squared
A,c_R,1/320,0.0031250000000000002,chosen exponent,PROVED,chosen radius exponent
A,window_lower,4/1323,0.0030234315948601664,lower bound,PROVED,packet-G_u dominance gate
A,window_upper,49/14625,0.0033504273504273503,upper bound,PROVED,65 R^2 caloric-isolation gate
A,window_lower_margin,43/423360,0.00010156840513983371,strict margin,PROVED,c_R minus lower gate
A,window_upper_margin,211/936000,0.00022542735042735044,strict margin,PROVED,upper gate minus c_R
A,c_gamma,8/3969,0.0020156210632401111,annular exponent,PROVED,1/(128 lambda^2)
A,leakage_exponent,75/22528,0.003329190340909091,leakage exponent,PROVED,c_h^2/264
A,leakage_inverse_R_margin,23/112640,0.0002041903409090909,strict margin,PROVED,transverse leakage exponent minus c_R
A,leakage_margin,117451/89413632,0.0013135692776689801,strict margin,PROVED,transverse leakage exponent minus c_gamma
B,annulus_inner_over_r,32/63,0.50793650793650791,normalized radius,PROVED,inner annular edge normalized by r_j
B,target_radius_over_r,1/1,1,normalized radius,PROVED,paired target radius
B,annulus_outer_over_r,64/63,1.0158730158730158,normalized radius,PROVED,outer annular edge normalized by r_j
B,outer_edge_gap_over_r,1/63,0.015873015873015872,strict geometric gap,PROVED,outer edge minus target radius
B,transition_bound_over_r,1/240,0.0041666666666666666,finite separation,PROVED,2 kappa/L_min
B,buffer_gap,1/240,0.0041666666666666666,finite separation,PROVED,c_h-alpha
B,mollified_F_at_origin,0/1,0,odd-even cancellation,PROVED,even mollifier against inversion-odd F
B,mollified_b_at_origin,0/1,0,odd-even cancellation,PROVED,even mollifier against odd shear
B,frame_speed,0/1,0,frame cancellation,PROVED,a_R(t)=0
B,frame_acceleration,0/1,0,frame cancellation,PROVED,a_R'(t)=0
