panel,record,exact_value,decimal_value,role,status,note
A,c_gamma,8/3969,0.0020156210632401111,exponent,EXACT FINITE,annular weight exponent
A,c_R,1/320,0.0031250000000000002,exponent,EXACT FINITE,inverse-radius exponent
A,c_leak,75/22528,0.003329190340909091,conditional exponent,EXACT FINITE,proposed local-leakage exponent
A,c_alpha_heat,49/14625,0.0033504273504273503,conditional exponent,EXACT FINITE,alpha squared over 260
A,c_surv,2926125/872415232,0.003354050792180575,conditional exponent,EXACT FINITE,proposed buffered-survival exponent
A,gap_R_gamma,1409/1270080,0.0011093789367598891,strict gap,EXACT FINITE,c_R minus c_gamma
A,gap_leak_R,23/112640,0.0002041903409090909,strict gap,EXACT FINITE,c_leak minus c_R
A,gap_alpha_leak,6997/329472000,2.1237009518259519e-05,strict gap,EXACT FINITE,alpha heat minus c_leak
A,gap_surv_alpha,3556289/981467136000,3.6234417532244299e-06,strict gap,EXACT FINITE,c_surv minus alpha heat
A,gap_surv_leak,238575/9596567552,2.4860451271483949e-05,strict gap,EXACT FINITE,c_surv minus c_leak
A,effective_separation,3825/4096,0.933837890625,coefficient,EXACT FINITE,255 c_h over 256
B,L_contrast,7680/1,7680,threshold,EXACT FINITE,inherited contrast threshold
B,L_surv,9216/1,9216,threshold,EXACT FINITE,finite survival-bookkeeping threshold
B,L12,8064/1,8064,discrete scale,EXACT FINITE,lambda times 2 to the 12
B,L13,16128/1,16128,discrete scale,EXACT FINITE,lambda times 2 to the 13
B,buffer_over_R,33/1,33,buffer,EXACT FINITE,2 kappa plus terminal vertical unit
B,buffer_budget,135/4,33.75,buffer,EXACT FINITE,c_h L_surv over 256
B,inner_threshold,32/63,0.50793650793650791,normalized radius,EXACT FINITE,dyadic inner annular threshold
B,inner_lower,294815/294912,0.99967108832465279,conditional normalized radius,CONDITIONAL,terminal-lobe lower radius bound at L_surv
B,inner_margin,1015129/2064384,0.49173458038814483,conditional strict margin,CONDITIONAL,inner lower bound minus threshold
B,outer_threshold_sq,4096/3969,1.0319979843789369,normalized radius squared,EXACT FINITE,dyadic outer squared-radius threshold
B,conditional_upper_sq,87370044545/86973087744,1.0045641337026969,conditional normalized radius squared,CONDITIONAL,terminal-lobe upper squared-radius bound at L_surv
B,outer_sq_margin,116914328399/4261681299456,0.027433850676239917,conditional strict margin,CONDITIONAL,outer squared threshold minus upper bound
B,x1_half_width_over_r,1/16,0.0625,hypothesis,CONDITIONAL,absolute x1 half-width over r
B,e2_abs_over_R,65/32,2.03125,hypothesis,CONDITIONAL,absolute second-component error over R
B,e3_abs_over_R,1/1,1,hypothesis,CONDITIONAL,absolute third-component error over R
B,first_admissible_j,13/1,13,discrete index,EXACT FINITE,first j with L_j at least L_surv
