panel,item,exact_value,numeric_value,unit,status
A,bad_path_exponent_A,4876875/1476395008,0.003303231840783617,L_squared_exponent,proved
A,radius_exponent_rho,1/320,0.003125,L_squared_exponent,inherited
A,bad_path_reserve_A_minus_rho,1315703/7381975040,0.000178231840783617,L_squared_exponent,proved
A,good_path_theta_lower,7/8,0.875,dimensionless,proved_strictly_above
A,clock_support_radius_coefficient,65/63,1.031746031746032,times_LR,proved
A,clock_length_upper,65/64,1.015625,clock_coordinate,proved
A,component_duration_coefficient,66560/189,352.1693121693122,times_LR_cubed,proved
A,modulus_exponent_coefficient,189/68157440,0.000002772991473858173,divided_by_LR,proved
B,good_packet_prefactor,6,6,R_exponent,proved
B,good_inverse_B,2,2,R_exponent,inherited
B,good_endpoint_kernel,-1,-1,R_exponent,proved
B,good_derivative_kernel,-3,-3,R_exponent,proved
B,good_clock_slice,1,1,R_exponent,proved
B,good_total,5,5,R_exponent,proved
B,bad_packet_prefactor,6,6,R_exponent,proved
B,bad_endpoint_kernel,-1,-1,R_exponent,proved
B,bad_derivative_kernel,-3,-3,R_exponent,proved
B,bad_time_window,2,2,R_exponent,proved
B,bad_probability,1,1,R_exponent,proved
B,bad_total,5,5,R_exponent,proved
