panel,item,exact_value,numeric_value,unit,status,proof_location
A,radius_exponent_rho,1/320,0.003125,L_squared_exponent,inherited,0.4
A,annular_weight_exponent_c_gamma,8/3969,0.002015621063240111,L_squared_exponent,inherited,0.4
A,target_R_power,5,5,R_exponent,proved_in_source,6.3
B,inward_outer_coefficient,32/63,0.5079365079365079,times_LR,proved_in_source,2.4
B,collar_padding_coefficient,1/8,0.125,times_R,proved_in_source,2.4
B,path_modulus_coefficient,1/16,0.0625,times_LR,inherited_from_r074m,3.1
B,defect_window_coefficient,3/5,0.6,times_LR,inherited_from_r074m,3.3
B,geometry_gap,149/5040,0.029563492063492063,times_LR,proved_in_source,3.4
B,final_segment_length,1/64,0.015625,times_R_squared,inherited_from_r074m,3.1
B,defect_exponent,1/640,0.0015625,L_squared_exponent,inherited_from_r074m,3.5
B,sigma_prefactor,1/32768,0.000030517578125,dimensionless,inherited_from_r074m,3.5
B,bad_path_exponent,1/16,0.0625,L_squared_exponent,inherited_from_r074m,3.2
B,bad_event_reserve,72851/1270080,0.05735937893675989,L_squared_exponent,proved_in_source,3.10
B,tail_distance_fraction,1/2,0.5,times_Sigma,proved_in_source,3.7
B,tail_denominator,1056,1056,dimensionless,proved_in_source,3.13
D,outer_volume_base,4,4,base_to_k,proved_in_source,5.2
D,geometric_tail_ratio_bound,1/2,0.5,dimensionless,proved_in_source,5.5
D,outer_L_squared_prefactor,4096/3969,1.0319979843789369,times_L_squared,proved_in_source,5.7
D,gamma_forward_gap,8/1323,0.006046863189720333,L_squared_exponent,proved_in_source,5.7
D,outer_exponent_reserve,1237/423360,0.0029218631897203326,L_squared_exponent,proved_in_source,5.9
