panel,item,exact_value,numeric_value,unit,status,proof_location
A,radius_exponent_rho,1/320,0.003125,L_squared_exponent,inherited,1.1
A,annular_weight_exponent_c_gamma,8/3969,0.002015621063240111,L_squared_exponent,inherited,1.1
A,energy_decay_d_E,98/29475,0.003324851569126378,L_squared_exponent,inherited,1.1
A,net_energy_exponent_e_E,17018/12998475,0.0013092305058862673,L_squared_exponent,proved_in_source,1.2
A,amplitude_gap_m,43/423360,0.00010156840513983371,L_squared_exponent,proved_in_source,1.3
A,varkappa_L_power,2/3,0.6666666666666666,L_power,defined,1.11
A,varkappa_exp_coefficient,43/1270080,0.00003385613504661124,L_squared_exponent,defined,1.11
B,energy_reserve,1171/943200,0.001241518235793045,L_squared_exponent,proved_in_source,2.4
B,velocity_packet_background_ratio,1,1,dimensionless,proved_exactly,2.10
B,harmonic_L_power,-3/2,-1.5,L_power,proved_exactly,2.13
B,payment_B_power,3,3,B_power,proved_in_source,3.3
B,payment_R_power,3,3,R_power,proved_in_source,3.3
B,beta_limit,1/128,0.0078125,dimensionless,inherited,1.5
B,shear_lower_prefactor,8,8,dimensionless,proved_in_source,3.2
B,shear_lower_exp_exponent,-8,-8,dimensionless,proved_in_source,3.2
C,quadratic_varkappa_power,2,2,varkappa_power,proved_exactly,4.3
C,observable_L_power,1,1,L_power,proved_in_source,4.6
C,observable_B_power,2,2,B_power,proved_in_source,4.6
C,observable_R_power,2,2,R_power,proved_in_source,4.6
D,power_increment_delta_star,86/11907,0.007222642143277064,dimensionless,proved_exactly,6.2
D,frontier_power_q_star,8024/11907,0.6738893088099437,dimensionless,proved_exactly,6.4
D,endpoint_log_power,1/2,0.5,log_power,rejected_universal_scale,0.1
D,frontier_log_power,7/6,1.1666666666666667,log_power,proved_in_source,6.8
D,ratio_log_power,2/3,0.6666666666666666,log_power,proved_in_source,6.9
