panel,item_id,series_id,label,sigma_or_beta_exact,log10_K,log10_decay_term,observable,relation,rate_exact,rate_decimal,classification,claim_type
A,sigma_1_4_00,sigma_1_4,sigma = 1/4,1/4,0.00,0.000000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_01,sigma_1_4,sigma = 1/4,1/4,0.25,-0.062500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_02,sigma_1_4,sigma = 1/4,1/4,0.50,-0.125000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_03,sigma_1_4,sigma = 1/4,1/4,0.75,-0.187500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_04,sigma_1_4,sigma = 1/4,1/4,1.00,-0.250000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_05,sigma_1_4,sigma = 1/4,1/4,1.25,-0.312500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_06,sigma_1_4,sigma = 1/4,1/4,1.50,-0.375000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_07,sigma_1_4,sigma = 1/4,1/4,1.75,-0.437500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_08,sigma_1_4,sigma = 1/4,1/4,2.00,-0.500000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_09,sigma_1_4,sigma = 1/4,1/4,2.25,-0.562500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_10,sigma_1_4,sigma = 1/4,1/4,2.50,-0.625000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_11,sigma_1_4,sigma = 1/4,1/4,2.75,-0.687500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_12,sigma_1_4,sigma = 1/4,1/4,3.00,-0.750000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_13,sigma_1_4,sigma = 1/4,1/4,3.25,-0.812500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_14,sigma_1_4,sigma = 1/4,1/4,3.50,-0.875000,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
A,sigma_1_4_15,sigma_1_4,sigma = 1/4,1/4,3.75,-0.937500,,<=,,,proved decay-rate term; additive log10 C suppressed,PROVED_RATE_ONLY
