panel,parameter,value_exact,status
A,shell_k=3:inner,exp(-15*4^0/32),PROVED_INNER_GAIN
A,shell_k=3:outer,1,PROVED_OUTER_ALIGNMENT
A,shell_k=4:inner,exp(-15*4^1/32),PROVED_INNER_GAIN
A,shell_k=4:outer,1,PROVED_OUTER_ALIGNMENT
A,shell_k=5:inner,exp(-15*4^2/32),PROVED_INNER_GAIN
A,shell_k=5:outer,1,PROVED_OUTER_ALIGNMENT
A,shell_k=6:inner,exp(-15*4^3/32),PROVED_INNER_GAIN
A,shell_k=6:outer,1,PROVED_OUTER_ALIGNMENT
B,lambda=1/4,2^(1/3)*M_R,PROVED_THRESHOLD_NO_GAIN
B,lambda=1,2^(1/3)*M_R,PROVED_THRESHOLD_NO_GAIN
B,lambda=4,2^(1/3)*M_R,PROVED_THRESHOLD_NO_GAIN
C,alpha=1,1/(1*kappa),PROVED_JUMP_DINI
C,alpha=3,1/(4*kappa),PROVED_JUMP_DINI
C,alpha=5,1/(16*kappa),PROVED_JUMP_DINI
C,critical_corona_depth=0,1,ABSTRACT_CRITICAL_CUBE
C,critical_corona_depth=1,1,ABSTRACT_CRITICAL_CUBE
C,critical_corona_depth=2,1,ABSTRACT_CRITICAL_CUBE
C,critical_corona_depth=3,1,ABSTRACT_CRITICAL_CUBE
C,critical_corona_depth=4,1,ABSTRACT_CRITICAL_CUBE
C,critical_corona_depth=5,1,ABSTRACT_CRITICAL_CUBE
C,open_lemma,S.375=>S.376,CONDITIONAL_ARROW_OPEN_ANTECEDENT
