panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,a-orbit-0000,Gamma,0.52359877559829893,1.5707963267948966,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0001,Gamma,0.52361313032322609,1.5637447319763313,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0002,Gamma,0.52365619410446507,1.5566937114177377,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0003,Gamma,0.52372796576140113,1.5496438391638303,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0004,Gamma,0.52382844332637757,1.5425956888296217,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0005,Gamma,0.52395762404475166,1.5355498333857174,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0006,Gamma,0.52411550437496812,1.5285068449445622,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0007,Gamma,0.52430207998865863,1.521467294547292,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0008,Gamma,0.5245173457707577,1.5144317519517314,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0009,Gamma,0.52476129581964592,1.5074007854213822,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0010,Gamma,0.52503392344730915,1.5003749615159623,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0011,Gamma,0.52533522117952325,1.4933548448833547,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0012,Gamma,0.52566518075605884,1.4863409980533591,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0013,Gamma,0.5260237931309073,1.4793339812333726,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0014,Gamma,0.52641104847252906,1.4723343521061412,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0015,Gamma,0.52682693616412357,1.4653426656297956,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0016,Gamma,0.52727144480391974,1.458359473840368,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0017,Gamma,0.5277445622054886,1.4513853256568963,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0018,Gamma,0.52824627539807745,1.4444207666893238,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0019,Gamma,0.52877657062696559,1.4374663390493447,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0020,Gamma,0.52933543335384181,1.4305225811643392,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0021,Gamma,0.52992284825720182,1.4235900275945719,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0022,Gamma,0.5305387992327697,1.4166692088537718,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0023,Gamma,0.53118326939393778,1.409760651233261,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0024,Gamma,0.53185624107223139,1.4028648766297245,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0025,Gamma,0.53255769581779222,1.3959824023768062,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0026,Gamma,0.53328761439988348,1.3891137410806134,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0027,Gamma,0.53404597680741905,1.3822594004592372,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0028,Gamma,0.53483276224950993,1.3754198831864552,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0029,Gamma,0.53564794915603642,1.3685956867396467,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0030,Gamma,0.53649151517823723,1.36178730325209,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0031,Gamma,0.53736343718932389,1.3549952193696668,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0032,Gamma,0.53826369128511398,1.3482199161121162,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0033,Gamma,0.53919225278468685,1.3414618687388733,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0034,Gamma,0.54014909623105978,1.3347215466195976,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0035,Gamma,0.54113419539188623,1.3279994131094217,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0036,Gamma,0.54214752326017535,1.321295925429016,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0037,Gamma,0.54318905205503176,1.314611534549488,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0038,Gamma,0.54425875322241701,1.307946685082195,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0039,Gamma,0.54535659743593379,1.3013018151734637,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0040,Gamma,0.54648255459762796,1.2946773564043061,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0041,Gamma,0.54763659383881547,1.2880737336950985,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0042,Gamma,0.54881868352092722,1.2814913652152975,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0043,Gamma,0.55002879123637793,1.2749306622981531,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0044,Gamma,0.55126688380945299,1.2683920293604807,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0045,Gamma,0.55253292729721903,1.2618758638274405,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0046,Gamma,0.55382688699045435,1.2553825560623573,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0047,Gamma,0.55514872741460075,1.2489124893015433,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0048,Gamma,0.55649841233073438,1.2424660395941383,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0049,Gamma,0.55787590473656223,1.2360435757468944,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0050,Gamma,0.55928116686743401,1.2296454592739376,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0051,Gamma,0.56071416019737841,1.2232720443514238,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0052,Gamma,0.56217484544015939,1.2169236777770762,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0053,Gamma,0.56366318255035353,1.2106006989345484,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0054,Gamma,0.56517913072444648,1.2043034397625814,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0055,Gamma,0.56672264840195385,1.1980322247288708,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0056,Gamma,0.56829369326655854,1.1917873708086257,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0057,Gamma,0.56989222224727176,1.185569187467725,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
