panel,series,x,y,x_unit,y_unit,exact_value,role,source_locator,note
A,inner shell radius,0,0.5,pL_mR-normalized,pL_mR-normalized,p*L_m*R/2,geometry,W.10--W.12,normalized radius
A,outer shell radius,0,1,pL_mR-normalized,pL_mR-normalized,p*L_m*R,geometry,W.10--W.12,normalized radius
A,remote strip lower face,0,,pL_mR-normalized,pL_mR-normalized,p*L_m*R-R,geometry,W.10,schematic coordinate only
A,remote strip upper face,0,,pL_mR-normalized,pL_mR-normalized,p*L_m*R-R/2,geometry,W.10,schematic coordinate only
A,x1 half-width,,,pL_mR-normalized,pL_mR-normalized,sqrt(p*L_m)*R/4,geometry,W.10,schematic coordinate only
A,x2 interval,,,pL_mR-normalized,pL_mR-normalized,"(5R/4,3R/2)",geometry,W.10,not displayed as a metric axis
A,strip volume,,,pL_mR-normalized,pL_mR-normalized,sqrt(p*L_m)*R^3/16,geometry,W.13,exact
A,packet centre,0,,pL_mR-normalized,pL_mR-normalized,h_m=c_h*L_m*R,geometry,W.6,outside adjacent shell face
A,centre-to-face gap,0,,pL_mR-normalized,pL_mR-normalized,d*L_m*R,geometry,"W.1,W.6",d=433/1008
B,q(ell),64.00,0.00100781053162006,ell=tau_m/R^2,rho=log(1/R)/L_m^2,4/3969,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.01,0.0010076530858254,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25405569,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.02,0.00100749568921718,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12704769,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.03,0.00100733834177235,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25413507,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.04,0.00100718104346789,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6354369,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.05,0.00100702379428077,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5084289,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.06,0.001006866594188,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12712707,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.07,0.00100670944316659,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25429383,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.08,0.00100655234119356,ell=tau_m/R^2,rho=log(1/R)/L_m^2,3200/3179169,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.09,0.00100639528824596,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25437321,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.10,0.00100623828430084,ell=tau_m/R^2,rho=log(1/R)/L_m^2,2560/2544129,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.11,0.00100608132933526,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25445259,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.12,0.00100592442332632,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6362307,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.13,0.00100576756625111,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25453197,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.14,0.00100561075808674,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12728583,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.15,0.00100545399881034,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5092227,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.16,0.00100529728839906,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1600/1591569,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.17,0.00100514062683004,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25469073,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.18,0.00100498401408045,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12736521,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.19,0.00100482745012749,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25477011,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.20,0.00100467093494834,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1280/1274049,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.21,0.00100451446852022,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25484949,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.22,0.00100435805082036,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12744459,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.23,0.00100420168182599,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25492887,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.24,0.00100404536151438,ell=tau_m/R^2,rho=log(1/R)/L_m^2,3200/3187107,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.25,0.00100388908986278,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1024/1020033,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.26,0.00100373286684848,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12752397,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.27,0.00100357669244879,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25508763,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.28,0.001003420566641,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6378183,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.29,0.00100326448940245,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25516701,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.30,0.00100310846071048,ell=tau_m/R^2,rho=log(1/R)/L_m^2,2560/2552067,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.31,0.00100295248054243,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25524639,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.32,0.00100279654887568,ell=tau_m/R^2,rho=log(1/R)/L_m^2,800/797769,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.33,0.0010026406656876,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25532577,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.34,0.0010024848309556,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12768273,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.35,0.00100232904465709,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5108103,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.36,0.00100217330676948,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6386121,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.37,0.00100201761727021,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25548453,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.38,0.00100186197613674,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12776211,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.39,0.00100170638334654,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25556391,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.40,0.00100155083887707,ell=tau_m/R^2,rho=log(1/R)/L_m^2,640/639009,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.41,0.00100139534270585,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25564329,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.42,0.00100123989481036,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12784149,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.43,0.00100108449516814,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25572267,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.44,0.00100092914375673,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6394059,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.45,0.00100077384055366,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5116041,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.46,0.00100061858553651,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12792087,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.47,0.00100046337868285,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25588143,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.48,0.00100030821997028,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1600/1599507,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.49,0.00100015310937639,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25596081,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.50,0.000999998046878815,ell=tau_m/R^2,rho=log(1/R)/L_m^2,512/512001,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.51,0.000999843032455178,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25604019,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.52,0.00099968806608313,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6401997,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.53,0.000999533147740331,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25611957,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.54,0.000999378277404455,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12807963,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.55,0.000999223455053192,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5123979,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.56,0.000999068680664243,ell=tau_m/R^2,rho=log(1/R)/L_m^2,3200/3202983,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.57,0.000998913954215325,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25627833,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.58,0.000998759275684168,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12815901,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.59,0.000998604645048515,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25635771,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.60,0.000998450062286123,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1280/1281987,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.61,0.000998295527374765,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25643709,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.62,0.000998141040292225,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12823839,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.63,0.000997986601016301,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25651647,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.64,0.000997832209524807,ell=tau_m/R^2,rho=log(1/R)/L_m^2,400/400869,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.65,0.000997677865795569,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5131917,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.66,0.000997523569806427,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12831777,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.67,0.000997369321535233,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25667523,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.68,0.000997215120959857,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6417873,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.69,0.000997060968058178,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25675461,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.70,0.000996906862808092,ell=tau_m/R^2,rho=log(1/R)/L_m^2,2560/2567943,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.71,0.000996752805187507,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25683399,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.72,0.000996598795174344,ell=tau_m/R^2,rho=log(1/R)/L_m^2,3200/3210921,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.73,0.00099644483274654,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25691337,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.74,0.000996290917882044,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12847653,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.75,0.000996137050558819,ell=tau_m/R^2,rho=log(1/R)/L_m^2,1024/1027971,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.76,0.000995983230754842,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6425811,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.77,0.000995829458448102,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25707213,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.78,0.000995675733616603,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12855591,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.79,0.000995522056238363,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25715151,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.80,0.000995368426291413,ell=tau_m/R^2,rho=log(1/R)/L_m^2,320/321489,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.81,0.000995214843753796,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25723089,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.82,0.000995061308603572,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12863529,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.83,0.000994907820818812,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25731027,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.84,0.000994754380377599,ell=tau_m/R^2,rho=log(1/R)/L_m^2,6400/6433749,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.85,0.000994600987258035,ell=tau_m/R^2,rho=log(1/R)/L_m^2,5120/5147793,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.86,0.000994447641438229,ell=tau_m/R^2,rho=log(1/R)/L_m^2,12800/12871467,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.87,0.000994294342896309,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25746903,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.88,0.000994141091610412,ell=tau_m/R^2,rho=log(1/R)/L_m^2,3200/3218859,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.89,0.000993987887558692,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25754841,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.90,0.000993834730719315,ell=tau_m/R^2,rho=log(1/R)/L_m^2,2560/2575881,threshold curve,"W.1--W.5,W.83",exact rational evaluation
B,q(ell),64.91,0.00099368162107046,ell=tau_m/R^2,rho=log(1/R)/L_m^2,25600/25762779,threshold curve,"W.1--W.5,W.83",exact rational evaluation
