panel,series,x,y,x_unit,y_unit,exact_value,role,source_locator,note
A,outer packet clock,0,1,ladder step,exponent of Gamma,Gamma=gamma_{k_2},weight identity,Z.4,reference packet weight
A,remote clock,1,1/4,ladder step,exponent of Gamma,omega=gamma_{k_2-1}=Gamma^(1/4),weight identity,Z.11,first fourth-root shift
A,doubled-radius payment,2,1/16,ladder step,exponent of Gamma,gamma_{k_2-2}=Gamma^(1/16),weight identity,Z.12,second fourth-root shift
A,physical-shell identity,1,,ladder step,exponent of Gamma,A_{k_2-1}(R)=A_{k_2-2}(2R),weight identity,Z.12,same remote physical annulus
A,clock-to-remote shift,0.5,,ladder step,exponent of Gamma,gamma_{j-1}=gamma_j^(1/4),weight identity,Z.11,exact dyadic weight rule
A,remote-to-payment shift,1.5,,ladder step,exponent of Gamma,omega^(1/4)=Gamma^(1/16),weight identity,Z.12,exact doubled-radius rule
A,remote strip volume,1,,ladder step,exponent of Gamma,|S_rem(t)|=(1/16)*sqrt(pL)*R^3,weight identity,Z.12b,"analytic geometry, not sampled data"
B,Holder lower-rate curve,0,0.269921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,64279/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.01,0.263254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,313457/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.02,0.256587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,305519/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.03,0.249921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,297581/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.04,0.243254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,289643/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.05,0.236587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,56341/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.06,0.229921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,273767/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.07,0.223254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,265829/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.08,0.216587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,257891/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.09,0.209921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,249953/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.1,0.203254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,48403/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.11,0.196587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,234077/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.12,0.189921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,226139/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.13,0.183254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,218201/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.14,0.176587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,210263/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.15,0.169921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,8093/47628000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.16,0.163254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,194387/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.17,0.156587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,186449/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.18,0.149921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,178511/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.19,0.143254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,170573/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.2,0.136587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,32527/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.21,0.129921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,154697/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.22,0.123254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,146759/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.23,0.116587721508,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,138821/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.24,0.109921054842,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,130883/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.25,0.103254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,24589/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.26,0.0965877215084,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,115007/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.27,0.0899210548417,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,107069/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.28,0.083254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,99131/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.29,0.0765877215084,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,91193/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.3,0.0699210548417,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,16651/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.31,0.063254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,75317/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.32,0.0565877215084,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,67379/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.33,0.0499210548417,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,59441/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.34,0.043254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,51503/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.35,0.0365877215084,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,8713/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.36,0.0299210548417,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,35627/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.37,0.023254388175,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,27689/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.38,0.0165877215084,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,19751/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.39,0.00992105484169,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,11813/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.4,0.00325438817502,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,31/9525600,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.41,-0.00341227849164,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-4063/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.42,-0.0100789451583,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-12001/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.43,-0.016745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-19939/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
