timestampUtc,elapsedSeconds,status,processCount,cpuPercent,rssMiB,gpuCount,gpuUtilPercentMean,gpuMemoryUsedMiB,gpuMemoryTotalMiB,gpuTemperatureCMax
2026-08-20T08:17:53.686387+00:00,0.021801,running,1,0.000,5.609,0,,,,
2026-08-20T08:17:53.810912+00:00,0.146188,running,1,9.300,13.375,0,,,,
2026-08-20T08:17:53.936155+00:00,0.271429,running,2,16.400,13.703,0,,,,
2026-08-20T08:17:54.062323+00:00,0.397594,running,2,20.700,14.969,0,,,,
2026-08-20T08:17:54.184748+00:00,0.520022,running,2,23.700,13.703,0,,,,
2026-08-20T08:17:54.310309+00:00,0.645583,running,2,25.600,15.203,0,,,,
2026-08-20T08:17:54.435695+00:00,0.770966,running,1,26.900,13.969,0,,,,
2026-08-20T08:17:54.561380+00:00,0.896650,running,2,28.000,15.688,0,,,,
2026-08-20T08:17:54.683273+00:00,1.018548,running,2,26.100,15.781,0,,,,
2026-08-20T08:17:54.809781+00:00,1.145049,running,2,24.700,15.844,0,,,,
2026-08-20T08:17:54.937117+00:00,1.272389,running,2,20.500,15.812,0,,,,
2026-08-20T08:17:55.060194+00:00,1.395462,running,2,16.600,14.281,0,,,,
2026-08-20T08:17:55.180196+00:00,1.515466,running,2,13.800,16.000,0,,,,
2026-08-20T08:17:55.306866+00:00,1.642132,running,2,12.000,16.016,0,,,,
2026-08-20T08:17:55.431941+00:00,1.767206,running,2,10.800,16.062,0,,,,
2026-08-20T08:17:55.556704+00:00,1.891969,running,2,10.300,15.938,0,,,,
2026-08-20T08:17:55.682865+00:00,2.018132,running,2,8.600,16.109,0,,,,
2026-08-20T08:17:55.809677+00:00,2.144940,running,2,7.300,16.109,0,,,,
2026-08-20T08:17:55.937042+00:00,2.272307,running,2,6.500,16.000,0,,,,
2026-08-20T08:17:56.061512+00:00,2.396780,running,2,6.000,16.156,0,,,,
2026-08-20T08:17:56.089160+00:00,2.424423,exited:0,0,0.000,0.000,0,,,,
