timestampUtc,elapsedSeconds,status,processCount,cpuPercent,rssMiB,gpuCount,gpuUtilPercentMean,gpuMemoryUsedMiB,gpuMemoryTotalMiB,gpuTemperatureCMax
2026-08-20T08:17:28.233550+00:00,0.023836,running,1,0.000,5.641,0,,,,
2026-08-20T08:17:28.356022+00:00,0.146160,running,2,8.500,13.297,0,,,,
2026-08-20T08:17:28.479695+00:00,0.269834,running,2,5.200,13.297,0,,,,
2026-08-20T08:17:28.611324+00:00,0.401461,running,2,3.200,13.297,0,,,,
2026-08-20T08:17:28.739913+00:00,0.530049,running,2,2.000,13.297,0,,,,
2026-08-20T08:17:28.874098+00:00,0.664234,running,2,1.200,13.297,0,,,,
2026-08-20T08:17:29.007593+00:00,0.797726,running,2,0.700,13.297,0,,,,
2026-08-20T08:17:29.141207+00:00,0.931339,running,2,0.400,13.297,0,,,,
2026-08-20T08:17:29.268119+00:00,1.058250,running,2,0.300,13.297,0,,,,
2026-08-20T08:17:29.393584+00:00,1.183715,running,2,0.100,13.281,0,,,,
2026-08-20T08:17:29.528707+00:00,1.318840,running,2,3.100,14.938,0,,,,
2026-08-20T08:17:29.652697+00:00,1.442824,running,2,85.300,14.938,0,,,,
2026-08-20T08:17:29.780396+00:00,1.570524,running,2,4.600,15.000,0,,,,
2026-08-20T08:17:29.935003+00:00,1.725129,running,2,286.600,15.000,0,,,,
2026-08-20T08:17:30.062385+00:00,1.852525,running,2,734.800,14.984,0,,,,
2026-08-20T08:17:30.193271+00:00,1.983398,running,2,984.000,14.984,0,,,,
2026-08-20T08:17:30.287443+00:00,2.077567,exited:0,0,0.000,0.000,0,,,,
