index,lengthLower,lengthUpper,mean,standardError,ci95Lower,ci95Upper
-8,0.00390625,0.015625,0.0,0.0,0.0,0.0
-7,0.0078125,0.03125,0.0,0.0,0.0,0.0
-6,0.015625,0.0625,1.9430526140009848e-11,1.1432568820475492e-10,-2.046478227413098e-10,2.435088750213295e-10
-5,0.03125,0.125,0.00016650014244357412,3.193774709972904e-05,0.0001039021581281052,0.00022909812675904305
-4,0.0625,0.25,0.01914413326292303,0.0005279932964424696,0.01810926640189579,0.020179000123950273
-3,0.125,0.5,0.31580357079728627,0.0005759056835204216,0.31467479565758627,0.31693234593698627
-2,0.25,1.0,1.3232580582394131,0.00021658082995348817,1.3228335598127043,1.323682556666122
-1,0.5,2.0,1.5024977840258857,3.5990217283127274e-05,1.5024272432000108,1.5025683248517607
0,1.0,4.0,0.26417330933624394,3.008249375497388e-06,0.26416741316746795,0.26417920550501994
1,2.0,8.0,-0.006041996199753805,4.2375348681636634e-08,-0.0060420792554372205,-0.006041913144070389
