replicate,seed,power,points,total,nearRemainder,reconstructed,sampleReconstructionResidual,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j0,j1
0,690701,18,262144,3.4526915757309506,0.0,3.4526915757309506,0.0,0.0,0.0,0.0,0.0,0.006060347809044483,0.3763698117654687,1.311287092094642,1.5008138021694641,0.2642041641790747,-0.0060436422867432785
0,690701,20,1048576,3.419032574657175,0.0,3.419032574657175,0.0,0.0,0.0,2.8252671814762955e-10,7.555530551692126e-06,0.021602672609811198,0.3153882935493331,1.3219018233999644,1.5019224796646418,0.26425190207852906,-0.0060421524581832226
0,690701,22,4194304,3.418754410642496,0.0,3.418754410642496,0.0,0.0,0.0,7.063167953690739e-11,0.00019220192158730996,0.021799423826194375,0.31271505364948393,1.3234052359625212,1.5025045571346363,0.2641800044870318,-0.006042066409590818
1,690702,18,262144,3.4213324783429457,0.0,3.421332478342946,4.440892098500626e-16,0.0,0.0,0.0,1.358827032191313e-05,0.02066255060732468,0.3129654777336167,1.32782302447243,1.501753251062863,0.26415408061871426,-0.006039494422324679
1,690702,20,1048576,3.4228209422887184,0.0,3.422820942288719,4.440892098500626e-16,0.0,0.0,0.0,1.4118694572539469e-06,0.020064055187269315,0.3205935063831068,1.3219123708063578,1.5020987460057063,0.26419163788105093,-0.006040785844229592
1,690702,22,4194304,3.418617592936439,0.0,3.4186175929364393,4.440892098500626e-16,0.0,0.0,0.0,5.554159807713891e-06,0.02011034311886476,0.31317524677464514,1.3248565123620062,1.5023400865762135,0.26417185331288595,-0.006042003367983878
2,690703,18,262144,3.453423596395364,0.0,3.453423596395364,0.0,0.0,0.0,0.0,3.931630125634315e-05,0.03168867873612205,0.34058623014661066,1.3180296888152896,1.5049673133207,0.26415420761391956,-0.006041838538534275
2,690703,20,1048576,3.4361966317699753,0.0,3.436196631769975,-4.440892098500626e-16,0.0,0.0,0.0,5.6466734073724595e-05,0.024576812892503384,0.3315427158878131,1.3185014961762227,1.5033975760819287,0.264164299869601,-0.0060427358721676615
2,690703,22,4194304,3.4217007776965924,0.0,3.421700777696592,-4.440892098500626e-16,0.0,0.0,6.375870607732048e-10,0.00025197311311424275,0.021028253661160637,0.31673633038031945,1.3229986848879673,1.5025524837447817,0.2641751915130882,-0.006042140241426494
3,690704,18,262144,3.471124669686178,0.0,3.4711246696861777,-4.440892098500626e-16,0.0,0.0,0.0,5.788922531168484e-08,0.038413549414684,0.351117123298769,1.3204235508674254,1.5031263112335043,0.26408406279497876,-0.0060399858124087855
3,690704,20,1048576,3.4189790755131027,0.0,3.418979075513102,-4.440892098500626e-16,0.0,0.0,0.0,0.0005154731750580191,0.019077815293620758,0.3156730153713817,1.3227713054946773,1.5027762783531147,0.2642068750475539,-0.006041687222303981
3,690704,22,4194304,3.4213207710027844,0.0,3.4213207710027844,0.0,0.0,0.0,0.0,0.00022822244229615444,0.01742512669299613,0.31902540596979967,1.3239987253234884,1.502502313644813,0.2641828169931365,-0.006041840063745545
4,690705,18,262144,3.3879544260426195,0.0,3.3879544260426195,0.0,0.0,0.0,0.0,0.00036935011569362266,0.0044959812513673154,0.305231767987333,1.3166129664474244,1.503051344582954,0.26423525041963136,-0.006042234761784353
4,690705,20,1048576,3.4077846521591066,0.0,3.4077846521591066,0.0,0.0,0.0,0.0,0.0002917239053840852,0.013439033121484775,0.3064242280200261,1.3264875696389495,1.5030427032677858,0.26414103790771276,-0.006041643702236445
4,690705,22,4194304,3.415613642319294,0.0,3.415613642319294,0.0,0.0,0.0,5.050643486148263e-10,0.0002634481393376959,0.016418401644629002,0.3143858192019775,1.3236045487422041,1.5028396449686978,0.2641437631517016,-0.006041984034318009
5,690706,18,262144,3.4831877982557797,0.0,3.4831877982557797,0.0,0.0,0.0,0.0,0.0003334617012891824,0.005440111521471478,0.38446979820018773,1.3329060046139902,1.5021302526339766,0.26394672481123715,-0.006038555226372508
5,690706,20,1048576,3.413163410924817,0.0,3.4131634109248172,4.440892098500626e-16,0.0,0.0,0.0,0.00014888242607143202,0.00941233790696475,0.32140116117132483,1.3213940679151934,1.5026730924773537,0.2641764181511931,-0.00604254912328411
5,690706,22,4194304,3.4154808300047943,0.0,3.4154808300047947,4.440892098500626e-16,0.0,0.0,0.0,6.27806949685291e-05,0.01952507192343681,0.31273569421002034,1.3223709711962988,1.5026283052510998,0.264200250161475,-0.006042243432504712
6,690707,18,262144,3.409404765761977,0.0,3.409404765761976,-8.881784197001252e-16,0.0,0.0,0.0,5.5794237374112284e-05,0.016558298665838526,0.31011710813790405,1.322603496616821,1.5018365749034928,0.26427654300079945,-0.0060430498002537695
6,690707,20,1048576,3.409640862529513,0.0,3.4096408625295127,-4.440892098500626e-16,0.0,0.0,0.0,2.7712922340519053e-05,0.015957051249492076,0.3113693700719393,1.321698348642815,1.502496510734364,0.26413311560548625,-0.006041246696924663
6,690707,22,4194304,3.4217134224312358,0.0,3.4217134224312358,0.0,0.0,0.0,0.0,2.541462263200355e-05,0.020558330047828158,0.31872602748248124,1.3217878058862307,1.5024852152675492,0.26417263910648087,-0.006042009981966516
7,690708,18,262144,3.3843101991806335,0.0,3.384310199180634,4.440892098500626e-16,0.0,0.0,0.0,0.00018395712367402613,0.01620229803388782,0.2782526249052706,1.3263599428805264,1.505202828442891,0.2641523618845112,-0.006043814090127321
7,690708,20,1048576,3.4111149976442343,0.0,3.4111149976442343,0.0,0.0,0.0,0.0,4.751819387928734e-05,0.01706108722285525,0.31194542638241973,1.3212863063691849,1.5026459525355587,0.26417084316881734,-0.006042136228481012
7,690708,22,4194304,3.422037151616344,0.0,3.422037151616344,0.0,0.0,0.0,7.218457485544422e-15,6.157130909440056e-05,0.02238824838532792,0.3165477981264352,1.3222183064892021,1.5026931066470333,0.2641699588598144,-0.006041838200570422
