replicate,seed,radiusPower,radius,points,total,nearRemainder,farRemainder,reconstructed,sampleReconstructionResidual,k-8,k-7,k-6,k-5,k-4,k-3,k-2,k-1,k0,k1,k2
0,690801,0,1,262144,3.3811446517718857,0.0,0.0,3.381144651771886,4.440892098500626e-16,0.0,0.0,0.0,-3.597318569546432e-06,0.032475281376445536,0.29255349115867146,1.2947738853337034,1.4986308719468848,0.269709154101215,-0.006994434826464711,0.0
0,690801,1,2,262144,3.41991212338293,0.0,0.0,3.41991212338293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08957768672279567,3.131302262650099,0.1993172084548602,-0.00028503444482442836,0.0
0,690801,2,4,262144,3.4201169227674217,0.0,0.0,3.4201169227674213,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.000988062594222172,3.2986438303155676,0.12048575512409358,-7.252664618834976e-07,0.0
0,690801,3,8,262144,3.420121369159232,0.0,0.0,3.420121369159232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3546276497897464e-06,3.32644080353656,0.09367921099744929,-2.4268942373518733e-12,0.0
0,690801,4,16,262144,3.420124947506163,0.0,0.0,3.420124947506163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.990723661092325e-12,3.3337937996997895,0.08633114780238277,0.0,0.0
0,690801,5,32,262144,3.420128261333688,0.0,0.0,3.420128261333688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.335684639020979,0.0844436223127091,0.0,0.0
0,690801,6,64,262144,3.4201303944323724,0.0,0.0,3.4201303944323724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361616287028593,0.08396876572951306,0.0,0.0
1,690802,0,1,262144,3.420791004357437,0.0,0.0,3.420791004357437,0.0,0.0,0.0,0.0,0.0077003137774749085,0.03494463400799141,0.3297391186446264,1.2887401838669081,1.4967971526701167,0.2698583482789728,-0.006988746888653382,0.0
1,690802,1,2,262144,3.4199030924878997,0.0,0.0,3.4199030924878997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08884172469073084,3.131969312405351,0.19937693511013443,-0.0002848797183166863,0.0
1,690802,2,4,262144,3.4202060859495744,0.0,0.0,3.4202060859495744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009982346572148496,3.2987116879756284,0.12049690434426054,-7.410275295176845e-07,0.0
1,690802,3,8,262144,3.4201514635488497,0.0,0.0,3.4201514635488497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4156121554599764e-06,3.326464614316534,0.09368543362350562,-3.345365547528342e-12,0.0
1,690802,4,16,262144,3.4201350129866026,0.0,0.0,3.4201350129866026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48837136950221e-13,3.333799717495034,0.08633529549071974,0.0,0.0
1,690802,5,32,262144,3.420132089407324,0.0,0.0,3.420132089407324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3356860052807837,0.08444608412654028,0.0,0.0
1,690802,6,64,262144,3.4201320250199645,0.0,0.0,3.4201320250199645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361619240787355,0.08397010094122881,0.0,0.0
2,690803,0,1,262144,3.3952614810625095,0.0,0.0,3.3952614810625104,8.881784197001252e-16,0.0,0.0,0.0,0.00020272829589528636,0.03618763126644709,0.2854950778944342,1.3100721867399172,1.5005669410918707,0.269730196914874,-0.006993281140928339,0.0
2,690803,1,2,262144,3.4198636153982513,0.0,0.0,3.4198636153982513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967964956974944,3.131182392719412,0.19928662089544102,-0.00028504778635130435,0.0
2,690803,2,4,262144,3.420128342803604,0.0,0.0,3.4201283428036033,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0009864790008778396,3.298671494046615,0.1204710990157313,-7.292596205768292e-07,0.0
2,690803,3,8,262144,3.420132116079298,0.0,0.0,3.4201321160792983,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.3494488153963844e-06,3.326455564316032,0.0936752023167762,-2.3249596207039414e-12,0.0
2,690803,4,16,262144,3.420132654459917,0.0,0.0,3.420132654459917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5399171117350775e-12,3.3338025234952333,0.08633013096014369,0.0,0.0
2,690803,5,32,262144,3.420132952758957,0.0,0.0,3.4201329527589563,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.335689599732121,0.0844433530268352,0.0,0.0
2,690803,6,64,262144,3.420133081262509,0.0,0.0,3.420133081262509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361644183455548,0.0839686629169543,0.0,0.0
3,690804,0,1,262144,3.4057685001769467,0.0,0.0,3.4057685001769467,0.0,0.0,0.0,0.0,0.0,0.037198649721698146,0.306585603445294,1.3008853528886706,1.498250062969623,0.2698411398607709,-0.006992308709109739,0.0
3,690804,1,2,262144,3.420158055973533,0.0,0.0,3.4201580559735336,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.08978911739146964,3.131320296679898,0.1993335267635279,-0.00028488486136180665,0.0
3,690804,2,4,262144,3.420121040029512,0.0,0.0,3.4201210400295126,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0010047026732824585,3.2986239410445553,0.12049312289791464,-7.265862399777096e-07,0.0
3,690804,3,8,262144,3.4201274447668144,0.0,0.0,3.420127444766815,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.4025493784258982e-06,3.326439687909495,0.09368635431031061,-2.3692361307758273e-12,0.0
3,690804,4,16,262144,3.4201305360811656,0.0,0.0,3.4201305360811656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071847057910092e-12,3.333795135707356,0.08633540037173768,0.0,0.0
3,690804,5,32,262144,3.4201317579158554,0.0,0.0,3.420131757915855,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3356858132832428,0.08444594463261229,0.0,0.0
3,690804,6,64,262144,3.4201323022841033,0.0,0.0,3.4201323022841037,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361623100316065,0.08396999225249742,0.0,0.0
4,690805,0,1,262144,3.420158687900157,0.0,0.0,3.420158687900157,0.0,0.0,0.0,0.0,0.0032407747181463315,0.04045355596245084,0.3093990331640776,1.3068439745485387,1.4973575088061801,0.26985907859299474,-0.006995237892231055,0.0
4,690805,1,2,262144,3.419898915994114,0.0,0.0,3.4198989159941147,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.08975406184258314,3.131104786255469,0.1993248253469635,-0.00028475745090062495,0.0
4,690805,2,4,262144,3.4200786933578966,0.0,0.0,3.4200786933578966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009972423451842026,3.2985801842631832,0.12050199537646475,-7.286269357526545e-07,0.0
4,690805,3,8,262144,3.4201123274356386,0.0,0.0,3.4201123274356386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.374886971523003e-06,3.326419332647542,0.09369161990394811,-2.822867235522951e-12,0.0
4,690805,4,16,262144,3.4201235534571346,0.0,0.0,3.420123553457135,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,2.696787112268108e-12,3.333785330928147,0.08633822252629121,0.0,0.0
4,690805,5,32,262144,3.420128454582763,0.0,0.0,3.420128454582763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3356811140366687,0.08444734054609447,0.0,0.0
4,690805,6,64,262144,3.4201307754135066,0.0,0.0,3.420130775413506,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361601260524396,0.08397064936106667,0.0,0.0
5,690806,0,1,262144,3.399756995083422,0.0,0.0,3.3997569950834214,-4.440892098500626e-16,0.0,0.0,0.0,-1.7756179112199587e-05,0.03250166899856969,0.3074057854042953,1.298585204050894,1.4986324236593003,0.2696459503786377,-0.00699628122916336,0.0
5,690806,1,2,262144,3.4193581127147827,0.0,0.0,3.4193581127147827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08936764843476364,3.1310495752939103,0.19922569988535224,-0.0002848108992435679,0.0
5,690806,2,4,262144,3.419973284413632,0.0,0.0,3.4199732844136315,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0009892606333933764,3.298540447253874,0.12044430053967736,-7.240133133368326e-07,0.0
5,690806,3,8,262144,3.420091418591936,0.0,0.0,3.420091418591936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5371533767491021e-06,3.32641934903135,0.09367053241004114,-2.832074293285163e-12,0.0
5,690806,4,16,262144,3.420120797072504,0.0,0.0,3.4201207970725034,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,4.719366725348472e-12,3.3337893283170077,0.08633146875077617,0.0,0.0
5,690806,5,32,262144,3.4201289129299006,0.0,0.0,3.4201289129299,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3356840298019943,0.08444488312790567,0.0,0.0
5,690806,6,64,262144,3.420131409220038,0.0,0.0,3.420131409220038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3361617515666735,0.08396965765336428,0.0,0.0
6,690807,0,1,262144,3.416590757780293,0.0,0.0,3.416590757780293,0.0,0.0,0.0,0.0,1.097385568693328e-05,0.027043031063995023,0.3350447203554388,1.2928497060889304,1.4986628090601897,0.26997460537802387,-0.006995088021971751,0.0
6,690807,1,2,262144,3.419981314876499,0.0,0.0,3.419981314876499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09003431112100188,3.1309214300283204,0.19931036174782302,-0.00028478802064616843,0.0
6,690807,2,4,262144,3.4201443260953326,0.0,0.0,3.4201443260953326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009971989515856375,3.2986559963996873,0.12049186090084188,-7.301567823040068e-07,0.0
6,690807,3,8,262144,3.420144640011576,0.0,0.0,3.420144640011576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863522469608515e-06,3.3264527170551665,0.0936905366070097,-2.847581983090965e-12,0.0
6,690807,4,16,262144,3.4201397134425147,0.0,0.0,3.420139713442514,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,5.924119355647208e-12,3.3338013695016855,0.08633834393490464,0.0,0.0
