index,degree,mean,standardError
-8,0,2.2579216452917093e-06,1.1804886519510676e-06
-8,1,-2.8166998618226603e-06,5.2982291867688104e-06
-8,2,-1.1403652122303643e-06,8.121674181307048e-06
-8,3,3.2233047360109394e-06,5.376858201692754e-06
-7,0,3.1667752563597716e-05,3.1205652477440046e-06
-7,1,-0.00010684522794589778,1.6420309542923668e-05
-7,2,0.00011868719820100229,2.740225482241948e-05
-7,3,-4.519824117842323e-05,2.8461738208340994e-05
-6,0,0.0003263112612638101,2.3462828505222358e-05
-6,1,-0.0009188073648747225,7.819593093035122e-05
-6,2,0.0008586809459580116,0.00011726216850860863
-6,3,-3.898478903007204e-05,8.083620510777761e-05
-5,0,0.0024490981476632235,8.444124590102055e-05
-5,1,-0.006950906311034615,0.00029715170049135405
-5,2,0.006554518179079557,0.0003822724806923571
-5,3,-0.0003574493443126264,0.0002171359235997743
-4,0,0.01203051491354857,0.00031472539367124254
-4,1,-0.03568360292272836,0.0009576091228825509
-4,2,0.03527566110481103,0.0011260948749073493
-4,3,0.010696284391948498,0.0011348011577405395
-3,0,0.01626678911819191,0.0008514276400253608
-3,1,-0.05056660182331275,0.002470488685366667
-3,2,0.05233283629204985,0.002539468850992678
-3,3,0.13436999884202375,0.0060358642777918045
-2,0,-0.0013620422485641364,0.0011597085393725368
-2,1,0.004632134908384641,0.0036644631367208683
-2,2,-0.004526745233439766,0.0039640690569593025
-2,3,0.7720159642118006,0.02132120622837553
-1,0,0.000273436303408566,0.00023148115872284996
-1,1,-0.04367805234184298,0.0007803820502743438
-1,2,0.0847255459663327,0.0011615158077356415
-1,3,1.1211460827594442,0.04398987873478808
0,0,0.0,0.0
0,1,0.00018201912967152987,0.0013930241201432947
0,2,0.0005671192566920526,0.0028489287248604474
0,3,-0.10713781707470245,0.082376725095842
1,0,0.0,0.0
1,1,-3.0243960101502907e-06,5.636926716520212e-07
1,2,-2.569931904515573e-06,1.1588199869210087e-06
1,3,0.019081412869587915,0.00618675541979223
