epsilon,j-1C0,j-1C1,j-1C2,j-1C3,j-2C0,j-2C1,j-2C2,j-2C3,j-3C0,j-3C1,j-3C2,j-3C3,j-4C0,j-4C1,j-4C2,j-4C3,j-5C0,j-5C1,j-5C2,j-5C3,j-6C0,j-6C1,j-6C2,j-6C3,j-7C0,j-7C1,j-7C2,j-7C3,j-8C0,j-8C1,j-8C2,j-8C3,j0C0,j0C1,j0C2,j0C3,j1C0,j1C1,j1C2,j1C3,jMax,jMin,pointsPerAnnulusZone,replicate,separation,totalC0,totalC1,totalC2,totalC3,zones
0.25,0.00023252351021690388,-0.04299541945894503,0.08108817415167913,1.1407128698730213,-0.0020463631519870564,0.008053768995034405,-0.009318907368815132,0.9568735039575782,0.016168491116929393,-0.05103149667222881,0.05355751999366942,0.11890029706373939,0.013435216142962362,-0.03908474784256716,0.037863847256247196,0.00822280373825221,0.002357415724107064,-0.00744825267444886,0.00782425817657656,-0.0015767787662903307,0.000376952541503033,-0.0011513308126471574,0.0011718040007852176,2.016901191221991e-06,2.4968632711875797e-05,-5.239584190004675e-06,-6.442672975561902e-05,0.0001785509576417222,-5.120375780769596e-07,-2.453205838479779e-06,6.442524411189363e-06,1.0328254520518993e-05,0.0,-0.0029583430816183948,0.004391863441524424,-0.08991807498194931,0.0,-3.174166567199155e-06,-4.4133973222670875e-06,0.026985128988699064,1,-8,262144,0,2,0.0305486924788655,-0.1366266885040167,0.1765161620490001,2.160390645986404,4
0.25,-0.0009200797201610847,-0.03867344150119778,0.07845382738927409,1.4068783990298614,-0.002759865610071485,0.00833360634471958,-0.0078033221950697396,0.642057773648689,0.021339045203668115,-0.0686626399220544,0.0733081442331045,0.1746940408183787,0.011438080221611663,-0.032866253493307934,0.03141826632178091,0.01638399969057261,0.0026885213805506215,-0.007361280316227315,0.0066569964908027475,-0.0008895224492657151,0.0003167695445681936,-0.0010957621565098755,0.0012412156793151653,-0.0002399219356090717,2.7672483732764374e-05,-0.00017001805743152088,0.0002570186636647485,-0.000141154022178415,6.635682667951715e-06,-2.5693811599142946e-05,3.1480575194431e-05,-3.454714693015234e-05,0.0,-0.0019692385445348737,0.0023742817942487005,0.14507839405920386,0.0,-6.37512938599788e-06,3.845825725989904e-06,0.024417095510412518,1,-8,262144,1,2,0.03213677918656673,-0.14249709658752926,0.18594175477804153,2.4082045572031348,4
0.25,-0.00011943692568333202,-0.040436131130349606,0.08019400394205611,1.0843626347277047,0.0043152447163990835,-0.013728811136284103,0.015124259396896989,0.8054784831188062,0.00822256312780252,-0.027920578925049344,0.031173468466691223,0.09425905716020977,0.011802598996392176,-0.03674345493177822,0.03807911287437987,0.007468547621367588,0.0021639339329719716,-0.006437946745645733,0.006384091692375516,0.0002509864934446618,0.00023194915779287977,-0.0005573078850291814,0.00041876829667971717,0.0004262126623520144,4.1922658409790775e-05,-0.00020735549535364596,0.0002889430154779206,-0.00012187430765723125,7.0092638140130055e-06,-1.4357275542267176e-05,7.686759642499044e-06,2.185908097006252e-05,0.0,0.014847517582264935,-0.03066718631484,-0.2686035706435188,0.0,-4.3906676504279485e-07,-5.177636561715104e-06,0.049369982779194355,1,-8,262144,2,2,0.0266657849278991,-0.1111988650095322,0.14099797049279814,1.7729123186928732,4
0.25,-5.7936512224417364e-05,-0.04222696570886075,0.08257586829345787,0.8888085906748406,-0.003729522035637608,0.007027345956478914,-0.002254768354316816,0.7916698875235268,0.01443655374723149,-0.04173410614161627,0.04015855104153798,0.11198086857466094,0.01063287250885025,-0.030261876318535982,0.028625135110521255,0.012863706843879885,0.0015076361105655028,-0.00340823525212631,0.002293562172556121,0.0005077892249894887,0.0003778093657506366,-0.0007473288415365386,0.0003612295858211566,-2.1349445942958276e-05,4.459120879757322e-05,-9.26595133589319e-05,5.154540032514251e-05,-1.4318243364122292e-05,2.2982668570007321e-07,-6.019744906965529e-06,1.135000975682903e-05,-3.264880849676032e-05,0.0,-0.01048587655805458,0.015983248111869908,0.16326570513557648,0.0,-3.6623676640899078e-06,-2.054672348296427e-06,0.008686683310613029,1,-8,262144,3,2,0.023212234220019126,-0.1219393844901815,0.16780366669918115,1.9777149147902833,4
0.25,0.0009076914904280348,-0.04521606793759125,0.08638736542663139,1.07054888174512,-0.005023857616037136,0.016297473370457505,-0.016842229355474636,0.8121110170720205,0.01990543169532173,-0.06005285491654355,0.060389414747121783,0.13468349990005357,0.012581276092149471,-0.03670111464437312,0.035658401012297836,0.014414917760022072,0.002312979291705667,-0.005984852366598388,0.005030766858079756,0.0008803781891820253,0.00028685644719156096,-0.0008223606016184218,0.0007841518616621577,0.0002711257495434209,4.0288022577144165e-05,-0.00019898235891989522,0.000277100650108362,-7.215613615778508e-05,1.4911004240344326e-06,-5.507345979867328e-06,6.541390687627937e-06,1.881164830677173e-05,0.0,-0.005769493855014685,0.012918642899817007,0.0333934340869908,0.0,-2.1767059153847954e-06,-3.2894685989836876e-06,0.00032638427169136915,1,-8,262144,4,2,0.0310121565237605,-0.13845593736209705,0.18460686602233228,2.0665762942867723,4
0.25,-0.0010161506599400552,-0.042664462717080465,0.08692606300248151,0.9430499988574645,0.0018282263686182076,-0.0015657347482507245,-0.001755434073276163,0.8343942012773593,0.021894277384680715,-0.06327509090744785,0.06086734966085361,0.09834668554874659,0.012261817084964028,-0.03676815404354142,0.03675085683219076,0.011004042983448203,0.0024656599269629012,-0.007709048787373003,0.008021117793857297,-0.0006181164667314089,0.0005564589902379228,-0.0015190128086336949,0.0013686486465536198,-0.0001561269355734229,3.782001167178208e-05,-0.0001342090024996966,0.00015495796998404258,-0.0002391234411474448,-3.8304521652859937e-07,1.2928028254855341e-05,-2.4706920860123354e-05,1.772775061234313e-05,0.0,0.00278014152870687,0.0017503507627465442,-0.2952623088052475,0.0,-2.537166766722332e-06,2.322219985750884e-07,0.06214428706196984,1,-8,262144,5,2,0.038027726061978975,-0.15084518062463187,0.1940594358965297,1.6526812678309013,4
0.25,0.00039604412413293567,-0.047644746971704066,0.09386404882339949,0.9276402912631543,-0.0008427419520895736,0.002392883576789795,-0.0015650354819869428,0.7449983698944012,0.018041661181826714,-0.056481376256684895,0.05883776896789006,0.11674553340098104,0.011892663483701785,-0.036210523043005094,0.036743055634904875,0.014739785734208338,0.002707029168471883,-0.007929658172342487,0.0077382288392693135,0.0004046886358730073,0.00039447443255578895,-0.0010804255977437303,0.0009774278978200972,-0.00017364548409031346,2.8224137102364132e-05,-9.187829276663598e-05,9.908417422618018e-05,7.336070880864043e-05,1.4231087764366868e-05,-3.538042010874338e-05,2.8067576924385775e-05,-1.5263618371974597e-05,0.0,0.001553818690723352,-0.0026050370671262257,-1.0880905357472388,0.0,1.1698196186391008e-06,-1.1525919386523586e-05,0.033673880982546756,1,-8,262144,6,2,0.032631585663466266,-0.14552611666722384,0.19410608344593472,0.749996465770272,4
0.25,-0.0002369527935633875,-0.043171957413262074,0.08556005035095104,1.1295924107455528,-0.002525231839561078,0.009846927036354591,-0.011431022763965792,0.8230016089965844,0.01618419379207951,-0.04914928566264598,0.049745989949053326,0.166586075227389,0.013249745489910411,-0.03796990790547988,0.036190579341228546,0.0061848301818326346,0.0024802808770267313,-0.0072319783505630664,0.007023114070045931,0.0006789570230051611,0.00028032590062840773,-0.0008962231402799851,0.0009514685786747462,-0.00022117248751196607,1.8355157925547686e-05,-5.265121199608423e-05,5.02369502155273e-05,0.0001780068135252607,-4.5693633368203055e-06,6.0340006797055386e-05,-0.00010697192358365101,2.8011584400688337e-05,0.0,-0.003237268278317218,0.006801784428451807,-0.28247711175206236,0.0,-5.441272076193299e-06,2.7555902254589038e-06,0.016292123594022268,1,-8,262144,7,2,0.029446147221109324,-0.13180744619146884,0.17478798457129696,1.859843739926738,4
0.25,0.0008468385429550929,-0.04516558161028783,0.08554635116742038,1.090059230175866,-0.01106846392988647,0.03248754114051566,-0.031155126210620665,0.902054454967919,0.014217164842008929,-0.045723885032146194,0.04879627553826571,0.13488928837595715,0.0105752117070405,-0.027517879182918474,0.023310123244715514,0.014582890122903563,0.0024509517970037493,-0.0067732642510010595,0.006193673110990894,0.00045308432630872253,0.0004507884912092969,-0.0011885821628379427,0.0010247988520480054,-0.0005984567043764554,2.2838125293728833e-05,-0.00010338356810979965,0.00013825276033840343,-8.230343599933126e-05,-4.187253930672189e-06,1.2563659391014343e-05,-1.2565556990014562e-05,3.427521069081479e-05,0.0,0.003322850097761787,8.73504077605336e-05,0.18563511625335538,0.0,-2.5651557879827203e-06,-5.552707426859094e-06,0.019927784027582204,1,-8,262144,8,2,0.017491142321694155,-0.0906521860654208,0.1339235806065019,2.346955363320207,4
0.25,-0.0006050016751218669,-0.042869549263701456,0.08339696129074792,1.313965478776697,0.004095526628565779,-0.0180354300571397,0.024423681820473497,0.7438194053625073,0.018272926236267608,-0.05928464531548244,0.0637505119221623,0.11750270644912719,0.011761487022058918,-0.035603580685547295,0.03592270030491784,0.012722242160745356,0.002372410395339802,-0.007009164615529195,0.006901098045038988,-0.00026838958269835567,0.00035639773821612494,-0.0007382647694469014,0.0004073363242454234,0.0005628522938968487,4.254251361087142e-05,-0.00014834605048681145,0.00016906456014100435,-0.0001462662636479432,1.3736386198133268e-06,7.45130124331656e-07,-5.611176108104942e-06,7.442399750515829e-07,0.0,-0.0010696364907331057,0.0031461916656285727,-0.1515961638532155,0.0,-1.6486515446208086e-06,-6.327234734644031e-06,0.0005793781403402097,1,-8,262144,9,2,0.036297662497557046,-0.1647595207694872,0.2181056075225128,2.037141987723727,4
