replicate,j-2C0,j-2C1,j-2C2,j-2C3,j0C0,j0C1,j0C2,j0C3
0,-0.0018130957685750064,0.005889217569774139,-0.005839294138687496,0.8264173949927741,0.0,-0.0020246359277589403,0.004747991273180617,-0.12924695994173357
1,-0.0022441046931079324,0.005858853257109888,-0.00413505627813735,1.454738928313993,0.0,-0.0016506959691825753,0.0041493358851091445,-0.15854757274978737
2,-0.0024019930624809525,0.006919282705726511,-0.005944580419761605,0.1162013814255598,0.0,-0.0014143204407559512,0.0035241730375709106,-0.14290355047830244
3,-0.0017430882610709126,0.004578157091567869,-0.0034106255875185343,0.7538107637931271,0.0,-0.00126277965082144,0.0032151953219784696,-0.13177833097824973
4,-0.002870031679330455,0.009235189291667483,-0.009318651995861819,0.8537793205093597,0.0,-0.0028022287981726165,0.006152789281839033,-0.12082614492624835
5,-0.001892670020601049,0.006116741627576101,-0.00618293493404512,0.46290215359085063,0.0,-0.0012286614534731677,0.003198805001730077,-0.1267212185865592
6,-0.0016763158931492228,0.004847156664376738,-0.0039231584339589985,0.5142925029307843,0.0,-0.0012331155064334617,0.0030036848983756815,-0.16383394420837366
7,-0.0017697187569319416,0.006131225247920226,-0.006460133306516336,1.0275836753888412,0.0,-0.0018412814745986798,0.00502814364206372,-0.13677789222258285
8,-0.0019438589124033839,0.0060986413481846895,-0.005685102763462059,0.4380529315514723,0.0,-0.001565634703868445,0.004073364614386361,-0.13985403521771161
9,-0.001939922716893575,0.0063175754871593595,-0.005964819357400222,1.4647649633921445,0.0,-0.0011954437907309877,0.002860318879716295,-0.1344776192720647
10,-0.002003499789719351,0.0076738103021308565,-0.008598161888554955,1.3448419370546865,0.0,-0.0017868971557207652,0.004582986700293296,-0.14113174747100712
11,-0.0018394517604647179,0.005230455355297668,-0.004132542980998114,1.0174727291323769,0.0,-0.0012776820102533414,0.0034485399440167402,-0.1478510037325852
12,-0.0015328190975248115,0.006277583382411008,-0.006772902901179476,0.7918687679453484,0.0,-0.0023010979945898347,0.005390305939094577,-0.14743880842608384
13,-0.0014468773984472137,0.005489516863447995,-0.005965480345678448,1.2705954319131965,0.0,-0.0011877152361330708,0.003756438793460282,-0.12232985619510311
14,-0.001862168066558598,0.007401693247152309,-0.008724222619932331,0.26403283816511536,0.0,-0.0016507856038312358,0.004000967703788585,-0.11585943171935306
15,-0.0021689280661723468,0.008041068270593667,-0.00915602057606798,1.000924450542518,0.0,-0.00181999874658573,0.004970315881106615,-0.11724294636369936
