replicate,index,root
0,-2,0.11381590526945957
1,-2,0.10482030819594729
2,-2,0.21666480690303522
3,-2,0.11833437624713902
4,-2,0.12901951604634893
5,-2,0.13635588938011672
6,-2,0.1294153913489405
7,-2,0.10519592262669361
8,-2,0.13998215181894316
9,-2,0.09798862383162711
10,-2,0.0995067441892298
11,-2,0.10901906769248348
12,-2,0.10601164424961157
13,-2,0.0920800453256052
14,-2,0.15249522745115032
15,-2,0.11147002697604626
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
