R,p,epsilon,closureScale,epsilonOverClosureScale,S,tau,tauTimesS,ZNormalizedConstantOne,xSample,xAboveZ,rawLedgerAtSample,L4AtKZero,l4DominatesSample
8.0,0.5,5.113725918232715,7.759706440566291,0.6590102289822608,391.2784587668938,5.1114492893448826e-05,0.02,54.54878874616553,68.18598593270691,True,0.3606712639749507,0.4446124790128989,True
8.0,1.0,8.117533902079657,12.317766166719341,0.6590102289822607,583.522169733098,3.427461892175916e-05,0.02,445.25107351075496,556.5638418884437,True,0.2915289453882761,0.3612080117332994,True
32.0,0.5,15.099978726562886,28.355655479665767,0.5325208841457144,16486.378216000398,1.2131227209496841e-06,0.02,965.1213792726215,1206.401724090777,True,0.20608300167069282,0.25649278365813566,True
32.0,1.0,23.969722115243353,45.01179733766927,0.5325208841457144,25568.995446009194,7.821973312260728e-07,0.02,7557.783191498115,9447.228989372645,True,0.18708845799638468,0.23327708123180252,True
128.0,0.5,42.43967301150224,93.63248422271386,0.45325800510168457,711715.6026204526,2.810111219476202e-08,0.02,13396.705687197533,16745.882108996917,True,0.1541488464085582,0.19245447920229888,True
128.0,1.0,67.36878158364506,148.63230395353182,0.45325800510168457,1120154.1174664407,1.7854685965209775e-08,0.02,102923.74216583127,128654.67770728908,True,0.14660286996238966,0.18313079295002999,True
512.0,0.5,116.80507636652007,291.83096195391005,0.40024908798048486,30881893.939025037,6.476286732766175e-10,0.02,165740.0572491795,207175.07156147435,True,0.12924140034965748,0.16149948736912456,True
512.0,1.0,185.4165010994398,463.2527760025284,0.4002490879804848,48867967.26421155,4.09266051355629e-10,0.02,1261158.545034684,1576448.181293355,True,0.12523762994941545,0.15651919144532075,True
2048.0,0.5,317.2997178316182,876.2066720930771,0.36212885377105675,1335045779.7000275,1.498075968937471e-11,0.02,1916634.2718307076,2395792.8397883843,True,0.114199279560336,0.14273672372270405,True
2048.0,1.0,503.68190587512356,1390.8913930221058,0.36212885377105675,2116789336.5396543,9.448271329963465e-12,0.02,14505023.733331647,18131279.66666456,True,0.11159877594413822,0.13949185812519513,True
