R,p,pRegime,epsilon,closureScale,epsilonOverClosureScale,normalizedLedgerProxy,insideWindow
16.0,1.0,p=1,14.08994392501267,23.954445225307175,0.5881974636643663,0.27994248468276506,True
16.0,0.25,p=R^-1/2,5.5915979521845145,9.506327887491807,0.5881974636643663,0.38806767978192336,True
64.0,1.0,p=1,40.32613042820701,82.54212933375473,0.4885520976221783,0.20358663581368855,True
64.0,0.125,p=R^-1/2,10.081532607051752,20.635532333438682,0.4885520976221783,0.26705568397453683,True
256.0,1.0,p=1,111.98309824172792,263.88501880310184,0.42436322739974963,0.1681136578501915,True
256.0,0.0625,p=R^-1/2,17.63623283839982,41.55928624274155,0.4243632273997497,0.20900377136527448,True
1024.0,1.0,p=1,306.01771874641565,805.7873080233397,0.3797748062042593,0.14720614171323684,True
1024.0,0.03125,p=R^-1/2,30.36080304118555,79.94422627617958,0.3797748062042593,0.17632132380667384,True
4096.0,1.0,p=1,827.0574449671358,2385.348138680151,0.3467239987135627,0.13294725738915883,True
4096.0,0.015625,p=R^-1/2,51.691090310446,149.08425866750946,0.3467239987135627,0.1556130770944181,True
16384.0,1.0,p=1,2216.5746870233324,6904.970843327218,0.3210114477406334,0.12232737596879091,True
16384.0,0.0078125,p=R^-1/2,87.27215958890118,271.8661910755725,0.32101144774063334,0.14125307931553174,True
