U,V,K,H,thresholdFraction,threshold,maximum,sampledMaximum,leftEndpoint,rightEndpoint,nonempty,classificationPassed
7.0,2.0,0.5,3.5,0.2,0.35000000000000003,1.75,1.7499867984816446,0.10606060606060608,19.499999999999996,True,True
7.0,2.0,0.5,3.5,0.7,1.2249999999999999,1.75,1.7499867984816446,0.790322580645161,5.214285714285715,True,True
7.0,2.0,0.5,3.5,1.0,1.75,1.75,1.7499867984816446,nan,nan,False,True
7.0,2.0,0.5,3.5,1.3,2.275,1.75,1.7499867984816446,nan,nan,False,True
120.0,5.0,3.0,24.0,0.2,0.888888888888889,4.444444444444445,4.444436399155652,0.6486486486486488,132.0,True,True
120.0,5.0,3.0,24.0,0.7,3.111111111111111,4.444444444444445,4.444436399155652,4.9411764705882355,35.57142857142857,True,True
120.0,5.0,3.0,24.0,1.0,4.444444444444445,4.444444444444445,4.444436399155652,nan,nan,False,True
120.0,5.0,3.0,24.0,1.3,5.777777777777779,4.444444444444445,4.444436399155652,nan,nan,False,True
4096.0,16.0,11.0,256.0,0.2,3.0681647940074908,15.340823970037453,15.340812633936885,2.6098239110287302,1324.0,True,True
4096.0,16.0,11.0,256.0,0.7,10.738576779026216,15.340823970037453,15.340812633936885,22.451025056947604,370.42857142857144,True,True
4096.0,16.0,11.0,256.0,1.0,15.340823970037453,15.340823970037453,15.340812633936885,nan,nan,False,True
4096.0,16.0,11.0,256.0,1.3,19.94307116104869,15.340823970037453,15.340812633936885,nan,nan,False,True
10000000.0,125.0,37.0,80000.0,0.2,24.988442845184103,124.94221422592051,124.94220649536494,9.244655433577464,400148.0,True,True
10000000.0,125.0,37.0,80000.0,0.7,87.45954995814435,124.94221422592051,124.94220649536494,86.20044098681197,114301.57142857143,True,True
10000000.0,125.0,37.0,80000.0,1.0,124.94221422592051,124.94221422592051,124.94220649536494,nan,nan,False,True
10000000.0,125.0,37.0,80000.0,1.3,162.42487849369667,124.94221422592051,124.94220649536494,nan,nan,False,True
