R,regime,p,level,epsilon,LR,LRepsilon,ZExact,oldDirectNormalized,edDirectNormalized,edOverOld,predictedWindowRatio,passed
16,oneCarrier,1.0,0.01,5.738154460522416,3.772588722239781,8.454122283467303,495.4490590110485,0.11873912800895915,0.04956872383899531,0.4174590522111231,0.0446242506997725,True
16,oneCarrier,1.0,1.0,573.8154460522417,3.772588722239781,12.899240061596212,390094.32247766695,7.013979156144269,0.29280490907525564,0.04174590522111227,0.2924659673147399,True
16,oneCarrier,1.0,100.0,57381.54460522417,3.772588722239781,17.50267301573253,245966315.0623798,516.3286738375234,2.1554607880963816,0.004174590522111222,2.1554357547837038,True
16,worstCommonBand,0.25,0.01,1.0,3.772588722239781,7.2422232654551655,1.8105558163637914,0.05603522631356772,0.05603522631356772,1.0,0.05479674520461063,True
16,worstCommonBand,0.25,1.0,90.37026990450443,3.772588722239781,11.060183095545568,1767.001327834106,3.2646035100909954,0.3434137291210497,0.1051930894699913,0.34109640768597876,True
16,worstCommonBand,0.25,100.0,9037.026990450442,3.772588722239781,15.654374485179204,1169313.9406225863,229.11219071126325,2.4101019176155605,0.010519308946999121,2.409926200380273,True
64,oneCarrier,1.0,0.01,68.13203114950294,5.1588830833596715,13.553791400837431,59762.75016494425,0.3172356186113785,0.038433176024409633,0.1211502547937129,0.03806228774511703,True
64,oneCarrier,1.0,1.0,6813.203114950294,5.1588830833596715,18.14453064462763,37493703.78719272,23.470810974082802,0.28434947297252017,0.012115025479371279,0.28432166058189845,True
64,oneCarrier,1.0,100.0,681320.3114950294,5.1588830833596715,22.7495554643412,21821985065.823647,1871.79750390686,2.2676874452055147,0.0012115025479371268,2.267685226397485,True
64,worstCommonBand,0.125,0.01,4.258251946843934,5.1588830833596715,10.9776576644218,16.45703041282636,0.10522432310474242,0.050991814218542084,0.4846010191748518,0.04699438843023343,True
64,worstCommonBand,0.125,1.0,425.8251946843934,5.1588830833596715,15.374141859982299,12294.010186691406,6.93464579014569,0.33605364175211944,0.04846010191748514,0.33555583982139814,True
64,worstCommonBand,0.125,100.0,42582.51946843934,5.1588830833596715,19.97698876865288,7426286.611665716,532.9028925670947,2.582452848592401,0.004846010191748508,2.5824127665600893,True
256,oneCarrier,1.0,0.01,696.353031487134,6.545177444479562,18.637646716669384,4633489.65633007,0.9275994300270819,0.035151651815414735,0.037895292598862915,0.03511804652153643,True
256,oneCarrier,1.0,1.0,69635.3031487134,6.545177444479562,23.24139619669974,2684462412.4166584,74.31527749593782,0.28161991852742535,0.0037895292598862877,0.28161722252335997,True
256,oneCarrier,1.0,100.0,6963530.31487134,6.545177444479562,27.84655216543038,1492922717041.403,6202.471415845214,2.3504446913953743,0.00037895292598862833,2.3504444663727377,True
256,worstCommonBand,0.0625,0.01,17.271742730061273,6.545177444479562,14.995712312528632,101.55612416868414,0.18649311276017932,0.04487399318431527,0.24062010934431102,0.04364699260742147,True
256,worstCommonBand,0.0625,1.0,1727.1742730061274,6.545177444479562,19.545175703330816,63763.70651232021,13.922290738927199,0.3349983119923947,0.024062010934431072,0.3348743211023761,True
256,worstCommonBand,0.0625,100.0,172717.42730061273,6.545177444479562,24.149772848797944,36583023.77032234,1126.36233527088,2.710254282741922,0.002406201093443106,2.7102438956502852,True
1024,oneCarrier,1.0,0.01,6492.931857715006,7.931471805599453,23.641567070985943,290906061.066712,2.703600597105321,0.03355228569853579,0.01241022277271998,0.033548841249755115,True
1024,oneCarrier,1.0,1.0,649293.1857715006,7.931471805599453,28.24658479504798,161344165348.55334,226.26048151721912,0.2807942980291578,0.0012410222772719966,0.28079400972360913,True
1024,oneCarrier,1.0,100.0,64929318.577150054,7.931471805599453,32.85175345629942,87098962451971.05,19454.302154737255,2.4143222362809516,0.00012410222772719955,2.414322211491749,True
1024,worstCommonBand,0.03125,0.01,63.91079314897001,7.931471805599453,19.035957554764536,477.61564711788384,0.3358558777806504,0.04201127378735076,0.1250872072418771,0.04166573592519004,True
1024,worstCommonBand,0.03125,1.0,6391.079314897001,7.931471805599453,23.62575850732966,277975.22218311176,26.841010638422738,0.3357467060309809,0.012508720724187695,0.33571289586909103,True
1024,worstCommonBand,0.03125,100.0,639107.9314897001,7.931471805599453,28.23077380184776,154189436.07665646,2246.0455334493704,2.809515631172732,0.0012508720724187683,2.8095127187340228,True
