schemaVersion,evidenceClass,diagnosticOnly,viscousEpsilon,absoluteLambda,coarseN,fineN,linearGainRelativeChange,quadraticNaturalRelativeChange,targetCubicNaturalRelativeChange,tripleCubicNaturalRelativeChange,signedCubicRelativeChange,maximumRelativeChange,finestCutoffGateApplied,passCheck,ordinaryCutoffAgreementIsTailProof
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.01,100,24,32,3.8062212279293218e-16,1.4275525184091399e-15,3.3038160112214857e-15,1.2203294805763637e-14,3.0598020081551925e-15,1.2203294805763637e-14,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.01,100,32,48,2.0934216753611268e-15,4.282657555227426e-16,2.4143270851233957e-15,2.3413298173848574e-14,1.8698790049837346e-15,2.3413298173848574e-14,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.01,100,48,64,1.1418663683787976e-15,3.2833707923410175e-15,2.2872572385379486e-15,1.7027853217344419e-15,7.3095270194818312e-15,7.3095270194818312e-15,true,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.0050000000000000001,200,24,32,3.2171175220043938e-16,3.0871943263510442e-15,8.4926886729689938e-15,1.1726401673924279e-14,6.1424862472750496e-15,1.1726401673924279e-14,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.0050000000000000001,200,32,48,2.091126389302856e-15,1.5435971631755245e-15,1.2305732566955025e-14,2.2299386789757408e-14,2.8973991732429573e-15,2.2299386789757408e-14,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.0050000000000000001,200,48,64,4.825676283006598e-16,2.2296403468090861e-15,7.7994079649714943e-15,2.6144108650060411e-14,4.7517346441184278e-15,2.6144108650060411e-14,true,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.002,500,24,32,3.8816887611418454e-16,0,9.601470424011344e-16,1.6590799566371044e-15,5.2517360114132263e-16,1.6590799566371044e-15,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.002,500,32,48,9.7042219028546164e-16,1.3657697063853106e-16,1.9202940848022688e-15,3.555171335650937e-16,9.1905380199731507e-16,1.9202940848022688e-15,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.002,500,48,64,3.8816887611418493e-16,1.6389236476623702e-15,6.3369704798474596e-15,3.7921827580276516e-15,4.5952690099865582e-15,6.3369704798474596e-15,true,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.001,1000,24,32,1.6708493026854294e-16,2.2981213452755993e-15,1.5255286344360265e-13,5.8759306866439426e-13,6.1512085627276509e-15,5.8759306866439426e-13,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.001,1000,32,48,5.0125479080562857e-16,4.8381502005802175e-16,1.346450692353274e-16,3.9409327207561336e-16,1.1184015568595786e-15,1.1184015568595786e-15,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.001,1000,48,64,2.172104093491057e-15,2.4190751002901088e-16,2.0196760385299073e-15,2.5616062684914811e-15,1.8640025947659642e-16,2.5616062684914811e-15,true,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.00050000000000000001,2000,24,32,4.9478897378912709e-16,3.8577907025585006e-13,1.061196512122653e-11,7.5874657598981532e-10,1.6391977082143955e-13,7.5874657598981532e-10,false,true,false
r073h-cutoff-convergence-v1,finite-binary64-galerkin-diagnostic-only,true,0.00050000000000000001,2000,32,48,6.1848621723640884e-16,1.1775917895482262e-16,4.9161331980631632e-16,1.0085707982854746e-14,1.6375601480663289e-16,1.0085707982854746e-14,false,true,false
