schemaVersion,evidenceClass,diagnosticOnly,smokeMode,gridKind,archivePrefix,N,dimensionPerKz,viscousEpsilon,absoluteLambda,profileTime,fastTime,fastStep,topEigenvalueFastReal,topEigenvalueFastImag,topClusterDimension,topRealGap,topEigenResidualRelative,generatorRelativeDefect,unitRealLaunchL2,v1L2,v1PositiveKzL2,v2MeanL2,v2DoublePairL2,v2L2,v3MeanPathTargetL2,v3DoublePathTargetL2,v3TargetPairL2,v3TriplePairL2,v3L2,quadraticNaturalResponse,targetCubicNaturalResponse,tripleCubicNaturalResponse,quadraticCompensated,targetCubicCompensated,tripleCubicCompensated,meanPathSignedNaturalParallel,doublePathSignedNaturalParallel,totalSignedNaturalParallel,meanPathSignedCompensated,doublePathSignedCompensated,totalSignedCompensated,meanPathCosineWithLinear,doublePathCosineWithLinear,totalCubicCosineWithLinear,v1OuterThreeMassFraction,v2OuterThreeMassFraction,v3OuterThreeMassFraction,maximumDivergenceRelative,maximumRealityRelative,forbiddenParityRelative,caseChecksPass
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0,0,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,0.99999999999999989,0.70710678118654746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.563506725535346e-30,0,0,5.4210108624275222e-20,0,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.001,0.10000000000000001,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.0157324998880832,0.71823133854242771,0.00028115450314237687,0.00024162162980747716,0.00037071399572724301,5.7519205593856893e-08,4.0626847247757373e-08,9.2315672990271055e-08,4.2502431382450643e-08,1.0162991760828396e-07,0.00035931908516815956,8.8092187470575661e-08,4.0557925128192545e-08,0.035931908516815957,0.00088092187470575662,0.00040557925128192543,-3.7454250384184763e-08,-2.7662063427124371e-08,-6.511631381130913e-08,-0.00037454250384184759,-0.0002766206342712437,-0.00065116313811309124,-0.68237997854490628,-0.7135254979512804,-0.73918375375863066,2.53290599107939e-30,1.757326441985704e-24,3.4235196575589525e-20,3.4694469519536142e-18,1.6263032587282567e-19,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.002,0.20000000000000001,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.0316682147687097,0.72949959059757397,0.00057024513983544437,0.00048739999529845082,0.00075015883312994146,2.3414019141765748e-07,1.6447519892927537e-07,3.7473787331845738e-07,1.7206237186665152e-07,4.1235171093572309e-07,0.00070481173564604014,3.4127732717139208e-07,1.5669883019141503e-07,0.070481173564604011,0.0034127732717139205,0.0015669883019141502,-1.4601976845760411e-07,-1.066370659688287e-07,-2.526568344264328e-07,-0.0014601976845760409,-0.0010663706596882869,-0.0025265683442643279,-0.68478752076917393,-0.71191463015428336,-0.74032704287896223,2.5121099307677095e-30,1.7015093462302667e-24,2.7418886432735237e-20,6.9388939039072284e-18,5.4210108624275222e-19,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0030000000000000001,0.29999999999999999,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.04780940594788,0.74091313633679379,0.00086749926223018861,0.00073750158940696345,0.0011386235393437633,5.3619997051428987e-07,3.7459477983836319e-07,8.5577207654950781e-07,3.9182299880029721e-07,9.4120726165426197e-07,0.0010370879127030433,7.4389430424614361e-07,3.4059874710497446e-07,0.10370879127030433,0.0074389430424614354,0.0034059874710497444,-3.2028734175007611e-07,-2.3124581555143912e-07,-5.5153315730151517e-07,-0.0032028734175007611,-0.0023124581555143912,-0.0055153315730151519,-0.68716315866403899,-0.71016463262915464,-0.74141333540715082,2.4904863911849076e-30,1.6690191745744901e-24,2.2678549952909222e-20,1.0408340855860843e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0040000000000000001,0.40000000000000002,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.0641583566508064,0.75247359024411764,0.0011731499989334118,0.0009920917744865765,0.0015364006668188439,9.7036848931590115e-07,6.7417145297623738e-07,1.5443264101315794e-06,7.0501813171951282e-07,1.6976438457707093e-06,0.0013567254362286199,1.2815050415739181e-06,5.8503453950684021e-07,0.13567254362286199,0.012815050415739181,0.0058503453950684015,-5.5520908099284925e-07,-3.9623633023660154e-07,-9.5144541122945105e-07,-0.0055520908099284923,-0.003962363302366015,-0.0095144541122945108,-0.68950696099453768,-0.70827630564475408,-0.7424437519659739,2.4647739148559961e-30,1.6531781407703438e-24,1.9317767714829402e-20,1.0408340855860843e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0050000000000000001,0.5,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.0807173721255172,0.76418258237605885,0.001487436392032809,0.0012513349865770683,0.0019437865800996292,1.5436619909012434e-06,1.0665342586814038e-06,2.4497276431712337e-06,1.1149786171869869e-06,2.6915316907852842e-06,0.001664272028912605,1.9408027770464715e-06,8.8334456388084296e-07,0.16642720289126051,0.019408027770464714,0.0088334456388084286,-8.4607389616274013e-07,-5.967566034212249e-07,-1.442830499583965e-06,-0.0084607389616274016,-0.005967566034212249,-0.01442830499583965,-0.69181899668273239,-0.7062505859282181,-0.74341943274611111,2.4342240108591291e-30,1.6494067549329244e-24,1.6893247301760886e-20,1.3877787807814457e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0060000000000000001,0.59999999999999998,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.0974887797491326,0.77604175843676093,0.001810603537055939,0.0015153949443382935,0.0023610817448206948,2.2634569457172124e-06,1.5551627110942594e-06,3.5817378050806449e-06,1.6251388142645319e-06,3.9331821557071375e-06,0.0019602472153429874,2.7095272568092115e-06,1.2293914722351395e-06,0.19602472153429873,0.027095272568092115,0.012293914722351395,-1.1884847149811739e-06,-8.283289695776261e-07,-2.0168136845587999e-06,-0.011884847149811738,-0.0082832896957762605,-0.020168136845587999,-0.69409933669035795,-0.70408855145984806,-0.74434153762078625,2.3989517565138016e-30,1.6543812844355381e-24,1.5114060972038713e-20,5.5511151231257827e-17,6.9388939039072284e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0070000000000000001,0.69999999999999996,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.1144749291366571,0.78805277985492728,0.0021429027259239767,0.0017844348621049878,0.0027885910187526704,3.1375045677356542e-06,2.143694352955718e-06,4.9505714525463963e-06,2.2390431702660537e-06,5.4333665461739652e-06,0.0022451440865463267,3.576386308583981e-06,1.6175270704049975e-06,0.22451440865463265,0.035763863085839807,0.016175270704049973,-1.5783373149396546e-06,-1.0868259810762859e-06,-2.6651632960159401e-06,-0.015783373149396544,-0.01086825981076286,-0.026651632960159398,-0.69634805515150289,-0.70179142520154281,-0.7452112456697032,2.3593634101881883e-30,1.6655687104511139e-24,1.3784429620294437e-20,5.5511151231257827e-17,6.9388939039072284e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0080000000000000002,0.80000000000000004,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.131678192252151,0.80021732386242928,0.0024845915929616906,0.0020586176665481465,0.003226623944750929,4.1739459349467744e-06,2.8359325697985756e-06,6.5669136054790809e-06,2.9603528777026212e-06,7.2033355789070709e-06,0.0025194309397544878,4.5309833027164926e-06,2.0425591480034014e-06,0.25194309397544878,0.045309833027164924,0.020425591480034012,-2.0118006496723126e-06,-1.3684477113217479e-06,-3.38024836099406e-06,-0.020118006496723125,-0.013684477113217478,-0.033802483609940599,-0.69856523029274631,-0.69936057817468655,-0.74602975450549025,2.3159519212129659e-30,1.6809615036391157e-24,1.2769746511127144e-20,5.5511151231257827e-17,3.4694469519536142e-18,0,true
r073h-harmonic-duhamel-primary-v1,finite-binary64-galerkin-diagnostic-only,true,false,formal,case_000,24,49,0.01,100,0.0089999999999999993,0.89999999999999991,0.050000000000000003,0.15631640701491004,3.6558230290399631e-17,1,0.14833990013772291,1.2478090773680205e-16,6.5642454956144936e-17,1,1.1491009635221459,0.81253708357450494,0.0028359342640256811,0.0023381062164626195,0.0036754950454783671,5.3813277340124807e-06,3.6358546646944718e-06,8.4419383738337699e-06,3.792852604676381e-06,9.2548395117585669e-06,0.0027835528024898479,5.5637500483441521e-06,2.4997201979155298e-06,0.27835528024898476,0.055637500483441515,0.024997201979155299,-2.4852985595134952e-06,-1.6697004039117841e-06,-4.1549989634252798e-06,-0.024852985595134949,-0.016697004039117839,-0.041549989634252799,-0.70075094521144354,-0.69679753191170346,-0.74679827945575383,2.2692213182255195e-30,1.6989216574140605e-24,1.1975771977171426e-20,5.5511151231257827e-17,3.4694469519536142e-18,0,true
