branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
inviscid,40,0,0,0,0.170407976920434,1.1085643859321883e-16,0,1,0.26884109334156508,6.7845102846149801e-16,true
inviscid,40,0,1,3.4722222222222222e-05,0.17039636175550582,-1.6808112187275754e-17,5.9167419871245303e-06,1,0.26884891542800771,5.1942953672126159e-16,true
inviscid,40,0,2,6.9444444444444444e-05,0.1703847478958849,-1.3125095666401285e-16,1.1833080692573405e-05,1,0.26885673834183099,5.0116499574757984e-16,true
inviscid,40,0,3,0.00010416666666666666,0.17037313534138279,-1.5182818781231356e-16,1.774901616166652e-05,1,0.26886456208301551,5.6468356045385947e-16,true
inviscid,40,0,4,0.00013888888888888889,0.1703615240918096,1.0496681547800299e-16,2.3664548439717214e-05,1,0.26887238665153995,4.8303079111039227e-16,true
inviscid,40,0,5,0.00017361111111111112,0.17034991414697812,2.2599824953401054e-16,2.9579677572032254e-05,1,0.26888021204738666,4.8658553217696777e-16,true
inviscid,40,0,6,0.00020833333333333332,0.1703383055067012,-1.1101306539201224e-16,3.5494403603911932e-05,1,0.26888803827053565,6.6169212638584424e-16,true
inviscid,40,0,7,0.00024305555555555555,0.17032669817078686,9.1949121349300325e-17,4.1408726580649955e-05,1,0.26889586532096704,5.2942626235019708e-16,true
inviscid,40,0,8,0.00027777777777777778,0.17031509213905072,7.4388579414319609e-17,4.7322646547533473e-05,1,0.26890369319866014,4.8144193660153884e-16,true
inviscid,40,0,9,0.00031250000000000001,0.17030348741130302,1.9739350956162413e-16,5.3236163549843166e-05,1,0.26891152190359807,5.3909978105806675e-16,true
inviscid,40,0,10,0.00034722222222222224,0.17029188398735495,-1.9568730361349745e-16,5.9149277632853121e-05,1,0.26891935143575674,5.3416018924121762e-16,true
inviscid,40,0,11,0.00038194444444444446,0.17028028186701891,2.3242354081076816e-16,6.506198884183092e-05,1,0.2689271817951201,4.7392062403925942e-16,true
inviscid,40,0,12,0.00041666666666666664,0.17026868105010684,-4.1488774364127638e-17,7.0974297222037579e-05,1,0.26893501298166705,5.0504479772497311e-16,true
inviscid,40,0,13,0.00045138888888888887,0.17025708153643171,-1.0107128542645142e-16,7.6886202818727669e-05,1,0.26894284499537802,4.827283979350882e-16,true
inviscid,40,0,14,0.0004861111111111111,0.17024548332580353,-3.5279212921055966e-17,8.2797705677149135e-05,1,0.26895067783623366,5.2434583978836212e-16,true
inviscid,40,0,15,0.00052083333333333333,0.17023388641803427,8.6066211206641003e-17,8.8708805842543416e-05,1,0.26895851150421102,6.9190323814222426e-16,true
inviscid,40,0,16,0.00055555555555555556,0.17022229081293894,1.2091196729905222e-16,9.4619503360145445e-05,1,0.2689663459992937,4.7426048910115142e-16,true
inviscid,40,0,17,0.00059027777777777778,0.1702106965103278,-3.1395652144636559e-16,0.00010052979827518368,1,0.26897418132146206,6.5096962386316602e-16,true
inviscid,40,0,18,0.00062500000000000001,0.1701991035100115,2.5087049639799305e-16,0.00010643969063287996,1,0.26898201747069178,6.1830556855060416e-16,true
inviscid,40,0,19,0.00065972222222222224,0.17018751181180272,-3.7135358744432246e-17,0.00011234918047844961,1,0.26898985444696755,4.9616911890221781e-16,true
inviscid,40,0,20,0.00069444444444444447,0.17017592141551452,-3.5663944385406426e-17,0.00011825826785710145,1,0.26899769225026748,5.8330084560323895e-16,true
inviscid,40,0,21,0.0007291666666666667,0.17016433232096065,1.5646467234169825e-16,0.00012416695281403784,1,0.26900553088057361,7.0689379339033341e-16,true
inviscid,40,0,22,0.00076388888888888893,0.17015274452794976,-4.3472693878727866e-17,0.00013007523539445453,1,0.26901337033786132,5.0720407340078232e-16,true
inviscid,40,0,23,0.00079861111111111116,0.17014115803629529,-1.6731829336863148e-17,0.00013598311564354078,1,0.26902121062211454,4.620572827031697e-16,true
inviscid,40,0,24,0.00083333333333333328,0.17012957284581115,1.8303269947709553e-16,0.0001418905936064793,1,0.2690290517333116,5.0905631163427565e-16,true
inviscid,40,0,25,0.00086805555555555551,0.17011798895630834,-3.3719179323990339e-17,0.00014779766932844642,1,0.2690368936714333,5.9186343376219923e-16,true
