smallN,largeN,epsilon,finiteInviscidActionProxyAbsoluteDifference,finiteInviscidActionPrefactorAbsoluteDifference,selectedObservableHierarchyMaximumRelativeDifference,finiteCutoffAgreementIsTailProof
40,48,0.001,1.0842021724855044e-19,4.4408920985006262e-16,1.135337885729793e-15,false
40,48,0.00050000000000000001,1.0842021724855044e-19,6.6613381477509392e-16,2.5421385534949356e-15,false
40,48,0.00025000000000000001,1.0842021724855044e-19,9.9920072216264089e-16,1.1204177217637979e-15,false
40,48,0.000125,1.0842021724855044e-19,1.1102230246251565e-15,1.9090535407290194e-15,false
40,48,6.2500000000000001e-05,1.0842021724855044e-19,1.6653345369377348e-15,6.5720429036298824e-13,false
48,64,0.001,1.0842021724855044e-19,1.1102230246251565e-15,3.5321623111593559e-15,false
48,64,0.00050000000000000001,1.0842021724855044e-19,0,4.2762099556690591e-15,false
48,64,0.00025000000000000001,1.0842021724855044e-19,1.2212453270876722e-15,4.2015664566142287e-15,false
48,64,0.000125,1.0842021724855044e-19,1.9984014443252818e-15,1.2148522531911966e-15,false
48,64,6.2500000000000001e-05,1.0842021724855044e-19,1.7763568394002505e-15,2.4917698212814717e-15,false
