N,epsilon,finiteInviscidActionProxy,finiteViscousAction,kineticGain,actualPhysicalLinearGain,finiteInviscidActionPrefactor,finiteViscousActionNormalizedPhysicalGain,physicalKineticGainRelativeDifference,aEndpointL2,bEndpointL2,bTargetEndpointL2,cTargetEndpointL2,cTripleEndpointL2,cMeanPathSignedParallel,cDoublePathSignedParallel,cTotalSignedParallel,forbiddenParityRelative,finiteCompressionOnly
40,0.001,0.00037786035537770328,0.00037461106351576156,1.4541761769230614,1.4541761769003219,0.9965850277770183,0.99982849002156693,1.5637436750262193e-11,1,0.0005349894835594229,0,2.2636304211154378e-07,1.0491502988211267e-07,-1.0036106215940868e-07,-6.4712418982311161e-08,-1.6507348114171984e-07,0,true
40,0.00050000000000000001,0.00037786035537770328,0.00037623231341069009,2.1215896265898944,2.1215896265221246,0.99645123259450608,0.99970104941092508,3.194293040020549e-11,0.99999999999999978,0.00037761918258253908,0,1.2494887612780726e-07,5.2615079462163583e-08,-6.1351945985373907e-08,-2.8247447502253052e-08,-8.9599393487626945e-08,0,true
40,0.00025000000000000001,0.00037786035537770328,0.00037704548591681693,4.5163520228883129,4.5163520225970153,0.99627014508030964,0.99952276358365322,6.4498438383374239e-11,1,0.00021925794004186896,0,4.724984099685125e-08,1.6986445549781796e-08,-2.6916814645949674e-08,-6.4418205907848851e-09,-3.3358635236734559e-08,0,true
40,0.000125,0.00037786035537770328,0.00037745270859777954,20.470798559665159,20.470798557007416,0.99612409775485589,0.99937793478265458,1.2983091318104309e-10,1,0.0001133918890012801,0,1.3165219427808263e-08,4.0553881867492244e-09,-8.1720468710722685e-09,-1.549868330200548e-09,-9.7219152012728163e-09,0,true
40,6.2500000000000001e-05,0.00037786035537770328,0.00037765647898429123,420.66319057746375,420.66319046781672,0.99607452968953281,0.99932905228920543,2.6065278646339301e-10,1,5.7012581942336769e-05,0,3.3417347620624755e-09,9.9589529356336788e-10,-2.0773814114436101e-09,-4.2416070918088985e-10,-2.5015421206245002e-09,0,true
48,0.001,0.00037786035537770317,0.00037461106351576167,1.4541761769230606,1.454176176900321,0.99658502777701785,0.99982849002156626,1.5637436750262202e-11,1,0.00053498948355942268,0,2.2636304211154357e-07,1.0491502988211279e-07,-1.003610621594086e-07,-6.4712418982311175e-08,-1.6507348114171977e-07,0,true
48,0.00050000000000000001,0.00037786035537770317,0.00037623231341069003,2.1215896265898939,2.1215896265221228,0.99645123259450541,0.9997010494109243,3.1943558357475298e-11,0.99999999999999967,0.00037761918258253908,0,1.2494887612780757e-07,5.2615079462163583e-08,-6.1351945985373827e-08,-2.8247447502252989e-08,-8.9599393487626852e-08,0,true
48,0.00025000000000000001,0.00037786035537770317,0.00037704548591681737,4.5163520228883147,4.516352022597018,0.99627014508031064,0.999522763583652,6.4498241725005877e-11,0.99999999999999989,0.00021925794004186899,0,4.7249840996851197e-08,1.6986445549781813e-08,-2.6916814645949694e-08,-6.4418205907848909e-09,-3.3358635236734579e-08,0,true
48,0.000125,0.00037786035537770317,0.00037745270859777965,20.470798559665134,20.470798557007377,0.99612409775485478,0.9993779347826518,1.2983160738233069e-10,1,0.0001133918890012801,0,1.3165219427808267e-08,4.0553881867492269e-09,-8.1720468710722685e-09,-1.5498683302005557e-09,-9.7219152012728246e-09,0,true
48,6.2500000000000001e-05,0.00037786035537770317,0.00037765647898429085,420.6631905774633,420.66319046781666,0.99607452968953447,0.99932905228921143,2.6065184056667373e-10,0.99999999999999989,5.7012581942336749e-05,0,3.3417347620645674e-09,9.9589529356402239e-10,-2.0773814114436097e-09,-4.2416070918089083e-10,-2.5015421206245011e-09,0,true
64,0.001,0.00037786035537770328,0.00037461106351576096,1.4541761769230586,1.4541761769003196,0.99658502777701674,0.99982849002156604,1.5636978666967128e-11,0.99999999999999978,0.0005349894835594229,0,2.2636304211154285e-07,1.0491502988211242e-07,-1.0036106215940839e-07,-6.4712418982311347e-08,-1.6507348114171974e-07,0,true
64,0.00050000000000000001,0.00037786035537770328,0.00037623231341068933,2.1215896265898935,2.1215896265221232,0.99645123259450541,0.99970104941092597,3.1943139719295437e-11,1,0.0003776191825825393,0,1.2494887612780781e-07,5.2615079462163808e-08,-6.1351945985373814e-08,-2.8247447502253101e-08,-8.9599393487626905e-08,0,true
64,0.00025000000000000001,0.00037786035537770328,0.00037704548591681699,4.5163520228883147,4.5163520225970144,0.99627014508030942,0.99952276358365266,6.449902835847926e-11,1,0.00021925794004186896,0,4.7249840996851395e-08,1.6986445549781842e-08,-2.6916814645949637e-08,-6.4418205907849158e-09,-3.3358635236734559e-08,0,true
64,0.000125,0.00037786035537770328,0.00037745270859777932,20.470798559665095,20.470798557007353,0.99612409775485278,0.99937793478265324,1.298309131810435e-10,0.99999999999999989,0.00011339188900128012,0,1.3165219427808267e-08,4.0553881867492286e-09,-8.1720468710722668e-09,-1.5498683302005497e-09,-9.7219152012728196e-09,0,true
64,6.2500000000000001e-05,0.00037786035537770328,0.00037765647898429128,420.6631905774633,420.66319046781666,0.9960745296895327,0.99932905228920432,2.6065184056667373e-10,0.99999999999999989,5.7012581942336749e-05,0,3.3417347620645666e-09,9.9589529356401991e-10,-2.0773814114436092e-09,-4.2416070918089073e-10,-2.5015421206245002e-09,0,true
