record_type,family,parameter,modes,autocorrelation_support,difference_set_size,l2_squared,l4_fourth,l6_sixth,autocorrelation_l1,aq_bound,support_bound,ratio_to_aq,scaled_heat_proxy
generic_sequence,A,5,5,7,9,5,37,311,13,481,925,0.64656964656964655,
generic_sequence,B,5,5,7,9,5,37,323,13,481,925,0.6715176715176715,
generic_sequence,alternating7,7,7,13,13,7,231,9331,49,11319,11319,0.82436611008039584,
generic_sequence,dirichlet7,7,7,13,13,7,231,9331,49,11319,11319,0.82436611008039584,
generic_sequence,mixed6,6,5,9,11,19,567,21541,57,32319,53865,0.66651195890961967,
asymptotically_fixed_quartic_spike,Dirichlet-spike,4,5,15,15,1,31/16,701/128,,,155/16,,
asymptotically_fixed_quartic_spike,Dirichlet-spike,16,17,63,63,1,507/256,137629/16384,,,8619/256,,
asymptotically_fixed_quartic_spike,Dirichlet-spike,64,65,255,255,1,7659/4096,23451149/2097152,,,497835/4096,,
asymptotically_fixed_quartic_spike,Dirichlet-spike,256,257,1023,1023,1,116651/65536,4226103757/268435456,,,29979307/65536,,
asymptotically_fixed_quartic_spike,Dirichlet-spike,1024,1025,4095,4095,1,1810091/1048576,844754993357/34359738368,,,1855343275/1048576,,
asymptotically_fixed_quartic_spike,Dirichlet-spike,4096,4097,16383,16383,1,28474027/16777216,185581595827405/4398046511104,,,116658088619/16777216,,
matched_r073r,D,0,2,3,3,1,3/2,5/2,2,3,3,0.83333333333333337,1.2009369551760027
matched_r073r,RS,0,2,3,3,1,3/2,5/2,2,3,3,0.83333333333333337,1.2009369551760027
matched_r073r,D,1,8,27,27,1,27/8,125/8,8,27,27,0.57870370370370372,1.0911236359717214
matched_r073r,RS,1,8,27,27,1,27/8,125/8,8,27,27,0.57870370370370372,1.0911236359717214
matched_r073r,D,2,32,147,147,1,363/32,105125/512,32,363,363,0.56562607610192839,1.0599314451342881
matched_r073r,RS,2,32,97,147,1,75/32,245/32,41/4,3075/128,75,0.31869918699186994,0.67411273370949532
matched_r073r,D,3,128,675,675,1,5547/128,25741805/8192,128,5547,5547,0.56648822438508428,1.0518400498525864
matched_r073r,RS,3,128,369,675,1,363/128,1445/128,37/2,13431/256,363,0.21517385153748791,0.4837096362568894
matched_r073r,D,4,512,2883,2883,1,87723/512,6519299405/131072,512,87723,87723,0.56699277530508962,1.0497976368500077
matched_r073r,RS,4,512,1441,2883,1,1323/512,4805/512,1709/64,2261007/32768,1323,0.13601019368803369,0.31895445574334147
matched_r073r,D,5,2048,11907,11907,1,1399467/2048,1664489213645/2097152,2048,1399467,1399467,0.56713756486879363,1.0492857900419803
matched_r073r,RS,5,2048,5697,11907,1,5547/2048,21125/2048,425/8,2357475/16384,5547,0.071686868365518186,0.22711084538786289
matched_r073r,D,6,8192,48387,48387,1,22375083/8192,425825415255245/33554432,8192,22375083,22375083,0.56717493768899274,1.0491577502859759
matched_r073r,RS,6,8192,22657,48387,1,21675/8192,80645/8192,23825/256,516406875/2097152,21675,0.0399783988158562,0.15647334559861895
matched_r073r,D,7,32768,195075,195075,1,357935787/32768,108993158675492045/536870912,32768,357935787,357935787,0.56718435451179194,1.0491257354633907
matched_r073r,RS,7,32768,90369,195075,1,87723/32768,330245/32768,716005/4096,62810106615/134217728,87723,0.021536080623002139,0.10970589416090928
riesz_product_no_go,A,1,5,,9,5,37,311,,,925,,
riesz_product_no_go,B,1,5,,9,5,37,323,,,925,,
riesz_product_no_go,A,2,25,,81,25,1369,96721,,,855625,,
riesz_product_no_go,B,2,25,,81,25,1369,104329,,,855625,,
riesz_product_no_go,A,3,125,,729,125,50653,30080231,,,791453125,,
riesz_product_no_go,B,3,125,,729,125,50653,33698267,,,791453125,,
riesz_product_no_go,A,4,625,,6561,625,1874161,9354951841,,,732094140625,,
riesz_product_no_go,B,4,625,,6561,625,1874161,10884540241,,,732094140625,,
riesz_product_no_go,A,5,3125,,59049,3125,69343957,2909390022551,,,677187080078125,,
riesz_product_no_go,B,5,3125,,59049,3125,69343957,3515706497843,,,677187080078125,,
riesz_product_no_go,A,6,15625,,531441,15625,2565726409,904820297013361,,,626398049072265625,,
riesz_product_no_go,B,6,15625,,531441,15625,2565726409,1135573198803289,,,626398049072265625,,
riesz_product_no_go,A,7,78125,,4782969,78125,94931877133,281399112371155271,,,579418195391845703125,,
riesz_product_no_go,B,7,78125,,4782969,78125,94931877133,366790143213462347,,,579418195391845703125,,
riesz_product_no_go,A,8,390625,,43046721,390625,3512479453921,87515123947429289281,,,535961830737457275390625,,
riesz_product_no_go,B,8,390625,,43046721,390625,3512479453921,118473216257948338081,,,535961830737457275390625,,
