panel,series,record,component_i,component_j,parameter,x,y,exact_value,quantity_class,source_origin,formula,normalization
A,tensor_state,local-product,,,s>=0,,,Theta_s=P_s(u tensor u),exact-identity,r073u-analytic-proof,Theta_s=P_s T,normalized periodic heat semigroup
A,pressure_reconstruction,same-scale-pressure,i,j,s>=0,,,"p_s=R_i R_j Theta_s,ij",exact-identity,r073u-analytic-proof,"p_s=R_i R_j Theta_s,ij",mean-zero pressure
A,cubic_tangent,odd-cubic-transport,i,j,s>=0,,,-P_s partial_k(u_k u_i u_j),exact-identity,r073u-analytic-proof,odd under u->-u,physical-time tangent
A,pressure_velocity_tangent,odd-pressure-velocity,i,j,s>=0,,,-P_s(u_j partial_i p+u_i partial_j p),exact-identity,r073u-analytic-proof,odd under u->-u,physical-time tangent
B,cubic_A,cubic_A-11,1,1,"h*=(1,2,0)",1,-2,-2,exact-finite-fourier,r073u-four-site-diagnostic,A=-i h_k Fourier(u_k u_i u_j),2x2 active block; normalized Fourier coefficient
B,cubic_A,cubic_A-12,1,2,"h*=(1,2,0)",1,3,3,exact-finite-fourier,r073u-four-site-diagnostic,A=-i h_k Fourier(u_k u_i u_j),2x2 active block; normalized Fourier coefficient
B,cubic_A,cubic_A-21,2,1,"h*=(1,2,0)",2,3,3,exact-finite-fourier,r073u-four-site-diagnostic,A=-i h_k Fourier(u_k u_i u_j),2x2 active block; normalized Fourier coefficient
B,cubic_A,cubic_A-22,2,2,"h*=(1,2,0)",2,-4,-4,exact-finite-fourier,r073u-four-site-diagnostic,A=-i h_k Fourier(u_k u_i u_j),2x2 active block; normalized Fourier coefficient
B,pressure_velocity_B,pressure_velocity_B-11,1,1,"h*=(1,2,0)",1,0,0,exact-finite-fourier,r073u-four-site-diagnostic,B=-Fourier(u_j partial_i p+u_i partial_j p),2x2 active block; normalized Fourier coefficient
B,pressure_velocity_B,pressure_velocity_B-12,1,2,"h*=(1,2,0)",1,-2,-2,exact-finite-fourier,r073u-four-site-diagnostic,B=-Fourier(u_j partial_i p+u_i partial_j p),2x2 active block; normalized Fourier coefficient
B,pressure_velocity_B,pressure_velocity_B-21,2,1,"h*=(1,2,0)",2,-2,-2,exact-finite-fourier,r073u-four-site-diagnostic,B=-Fourier(u_j partial_i p+u_i partial_j p),2x2 active block; normalized Fourier coefficient
B,pressure_velocity_B,pressure_velocity_B-22,2,2,"h*=(1,2,0)",2,4,4,exact-finite-fourier,r073u-four-site-diagnostic,B=-Fourier(u_j partial_i p+u_i partial_j p),2x2 active block; normalized Fourier coefficient
B,total_K,total_K-11,1,1,"h*=(1,2,0)",1,-2,-2,exact-finite-fourier,r073u-four-site-diagnostic,K=A+B,2x2 active block; normalized Fourier coefficient
B,total_K,total_K-12,1,2,"h*=(1,2,0)",1,1,1,exact-finite-fourier,r073u-four-site-diagnostic,K=A+B,2x2 active block; normalized Fourier coefficient
B,total_K,total_K-21,2,1,"h*=(1,2,0)",2,1,1,exact-finite-fourier,r073u-four-site-diagnostic,K=A+B,2x2 active block; normalized Fourier coefficient
B,total_K,total_K-22,2,2,"h*=(1,2,0)",2,0,0,exact-finite-fourier,r073u-four-site-diagnostic,K=A+B,2x2 active block; normalized Fourier coefficient
B,local_tensor_T,local_tensor_T-11,1,1,"h*=(1,2,0)",1,0,0,exact-finite-fourier,r073u-four-site-diagnostic,Fourier(u_i u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,local_tensor_T,local_tensor_T-12,1,2,"h*=(1,2,0)",1,0,0,exact-finite-fourier,r073u-four-site-diagnostic,Fourier(u_i u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,local_tensor_T,local_tensor_T-21,2,1,"h*=(1,2,0)",2,0,0,exact-finite-fourier,r073u-four-site-diagnostic,Fourier(u_i u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,local_tensor_T,local_tensor_T-22,2,2,"h*=(1,2,0)",2,0,0,exact-finite-fourier,r073u-four-site-diagnostic,Fourier(u_i u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,viscous_V,viscous_V-11,1,1,"h*=(1,2,0)",1,0,0,exact-finite-fourier,r073u-four-site-diagnostic,-2nu Fourier(partial_l u_i partial_l u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,viscous_V,viscous_V-12,1,2,"h*=(1,2,0)",1,0,0,exact-finite-fourier,r073u-four-site-diagnostic,-2nu Fourier(partial_l u_i partial_l u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,viscous_V,viscous_V-21,2,1,"h*=(1,2,0)",2,0,0,exact-finite-fourier,r073u-four-site-diagnostic,-2nu Fourier(partial_l u_i partial_l u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,viscous_V,viscous_V-22,2,2,"h*=(1,2,0)",2,0,0,exact-finite-fourier,r073u-four-site-diagnostic,-2nu Fourier(partial_l u_i partial_l u_j)(h*)=0,2x2 active block; normalized Fourier coefficient
B,tangent_separation,matrix-coefficient,i,j,s>=0,,,2*exp(-5s)*K,exact-finite-fourier,r073u-four-site-diagnostic,partial_t Theta_s(u)-partial_t Theta_s(-u)=2 exp(-5s) K,"h*=(1,2,0)"
B,tangent_separation_norm,frobenius,,,s>=0,,,2*sqrt(6)*exp(-5s),exact-finite-fourier,r073u-four-site-diagnostic,norm_F(2 exp(-5s) K),coefficient-level Frobenius norm
C,universal_curve,analytic-sample-000,,,z=0.00,0,0,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-001,,,z=0.01,0.01,0.0099950012497916924,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-002,,,z=0.02,0.02,0.019960039973346663,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
