panel,series,record,component_i,component_j,mode,parameter,x,y,exact_value,q_polynomial,coefficient_map,small_s_order,leading_coefficient,evidence_class,source_primary_path,source_independent_path,normalization,primary_sha256,independent_sha256
META,two_path,common-core-equality,,,,,,,TRUE,,"{""sha256"":""24519dec8a70d0ebe1e0ba3ea1899569ca3dbfabc1b11691990387c628731fa2""}",,,exact-two-path-certificate,commonCore,commonCore,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
META,two_path,complete-table-digest,,,,,,,a7494d44f45b1249a513ac4d44476b7ce5af622b0d59928f4e4631d9715c22f7,,,,,exact-two-path-certificate,commonCore.tableDigest,commonCore.tableDigest,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,definition,pressure-aware-nonlinearity,,,continuum,,,,N=P div(u tensor u),,,,,exact-two-path-certificate,compressedLift.definition,commonCore.compressedTarget,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,definition,raw-lift,,,continuum,,,,Ccal_s=P_s(u odot N),,,,,exact-two-path-certificate,compressedLift.definition,commonCore.compressedTarget.Ccal,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,definition,signed-residual,,,continuum,,,,chi=P_s(u odot N)-v_s odot N_s,,,,,exact-two-path-certificate,compressedLift.definition,commonCore.compressedTarget.chi,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,Ccal,Ccal-11,1,1,"h*=(1,2,0)",,,,"{""coefficients"":{""5"":""2""},""smallS"":{""leadingCoefficient"":""2"",""order"":0}}",-q^5*K,"{""5"":""2""}",0,2,exact-two-path-certificate,commonCore.compressedTarget.Ccal.0.0,commonCore.compressedTarget.Ccal.0.0,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,Ccal,Ccal-12,1,2,"h*=(1,2,0)",,,,"{""coefficients"":{""5"":""-1""},""smallS"":{""leadingCoefficient"":""-1"",""order"":0}}",-q^5*K,"{""5"":""-1""}",0,-1,exact-two-path-certificate,commonCore.compressedTarget.Ccal.0.1,commonCore.compressedTarget.Ccal.0.1,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,Ccal,Ccal-21,2,1,"h*=(1,2,0)",,,,"{""coefficients"":{""5"":""-1""},""smallS"":{""leadingCoefficient"":""-1"",""order"":0}}",-q^5*K,"{""5"":""-1""}",0,-1,exact-two-path-certificate,commonCore.compressedTarget.Ccal.1.0,commonCore.compressedTarget.Ccal.1.0,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,Ccal,Ccal-22,2,2,"h*=(1,2,0)",,,,"{""coefficients"":{},""smallS"":{""leadingCoefficient"":""0"",""order"":""infinity""}}",-q^5*K,{},infinity,0,exact-two-path-certificate,commonCore.compressedTarget.Ccal.1.1,commonCore.compressedTarget.Ccal.1.1,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
A,resolved,resolved-11,1,1,"h*=(1,2,0)",,,,"{""coefficients"":{""3"":""2""},""smallS"":{""leadingCoefficient"":""2"",""order"":0}}",-q^3*K,"{""3"":""2""}",0,2,exact-two-path-certificate,commonCore.compressedTarget.resolved.0.0,commonCore.compressedTarget.resolved.0.0,q=exp(-s); normalized Haar measure on T^3,e024ea767ff146ee2e53455522e6c0ab2c59608e74038673cc8a6fca0271b0c4,0c40808136b532b536a871184a9937b7a29c436e04ef0235e607964b0ebec1d0
