panel,sample_index,n,J,s,r_exp_minus_s,energy_over_pi_cubed,D32_lower_bound_frequency_factor,l2_partial_sum,l2_partial_sum_exact,l2_limit_exact,lacunary_unit_term,lacunary_partial_lower_sum,Pi_s,centered_S_s,D_s,Q_s_magnitude,div_Q_s,normalization,analytic_formula,claim_qualifier
A,1,1,,,,6,1,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,2,2,,,,6,2,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,3,3,,,,6,3,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,4,4,,,,6,4,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,5,5,,,,6,5,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,6,6,,,,6,6,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,7,7,,,,6,7,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,8,8,,,,6,8,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,9,9,,,,6,9,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,10,10,,,,6,10,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,11,11,,,,6,11,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,12,12,,,,6,12,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,13,13,,,,6,13,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,14,14,,,,6,14,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,15,15,,,,6,15,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,16,16,,,,6,16,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,17,17,,,,6,17,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,18,18,,,,6,18,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
