panel,record,index_j,L_exact,exact_value,analytic_formula,plotted_value,plotted_unit,role,status,note
A,c_gamma,,,8/3969,8/3969,0.0020156210632401111,identity,coefficient,EXACT FINITE,annular-weight exponent
A,three_half_gamma,,,4/1323,4/1323,0.0030234315948601664,identity,coefficient,EXACT FINITE,three halves of c_gamma
A,c_R,,,1/320,1/320,0.0031250000000000002,identity,coefficient,EXACT FINITE,inverse-radius exponent
A,d_E,,,98/29475,98/29475,0.0033248515691263782,identity,coefficient,EXACT FINITE,buffered transverse-energy exponent
A,a_plateau,,,49/14625,49/14625,0.0033504273504273503,identity,coefficient,EXACT FINITE,plateau heat-leakage exponent
A,gap_complete,,,43/423360,43/423360,0.00010156840513983371,identity,strict gap,EXACT FINITE,c_R minus three halves c_gamma
A,gap_energy,,,17018/12998475,17018/12998475,0.0013092305058862673,identity,strict gap,EXACT FINITE,d_E minus c_gamma
A,gap_shift,,,211/936000,211/936000,0.00022542735042735044,identity,strict gap,EXACT FINITE,a_plateau minus c_R
B,background_floor,12,8064/1,,1,0,log10(analytic factor),normalized floor,ANALYTIC FLOOR,unit shear/background payment floor
B,packet_G_envelope,12,8064/1,,exp[-(43/423360)*(8064/1)^2]*(8064/1)^-2,-2876.2412951128003,log10(analytic factor),normalized upper envelope,ANALYTIC ENVELOPE,packet cubic row relative to the floor
B,packet_H_envelope,12,8064/1,,exp[-(43/423360)*(8064/1)^2]*(8064/1)^-7/2,-2882.1011208914524,log10(analytic factor),normalized upper envelope,ANALYTIC ENVELOPE,packet harmonic row relative to the floor
B,target_ratio_lower,12,8064/1,,8064/1,3.90655051910145,log10(analytic factor),normalized lower bound,ANALYTIC LOWER BOUND,rejected-ratio lower bound
B,background_floor,13,16128/1,,1,0,log10(analytic factor),normalized floor,ANALYTIC FLOOR,unit shear/background payment floor
B,packet_G_envelope,13,16128/1,,exp[-(43/423360)*(16128/1)^2]*(16128/1)^-2,-11482.127937327919,log10(analytic factor),normalized upper envelope,ANALYTIC ENVELOPE,packet cubic row relative to the floor
B,packet_H_envelope,13,16128/1,,exp[-(43/423360)*(16128/1)^2]*(16128/1)^-7/2,-11488.439308100069,log10(analytic factor),normalized upper envelope,ANALYTIC ENVELOPE,packet harmonic row relative to the floor
B,target_ratio_lower,13,16128/1,,16128/1,4.2075805147654313,log10(analytic factor),normalized lower bound,ANALYTIC LOWER BOUND,rejected-ratio lower bound
