panel,item,exact_value,numeric_value,unit,status
A,radius_exponent_rho,1/320,0.003125,L_squared_exponent,inherited
A,collar_outer_coefficient,32/63,0.5079365079365079,times_LR,proved_in_source
A,path_modulus_coefficient,1/16,0.0625,times_LR,proved_in_source
A,defect_window_coefficient,3/5,0.6,times_LR,proved_in_source
A,geometry_gap,149/5040,0.029563492063492063,times_LR,proved_in_source
A,final_segment_length,1/64,0.015625,times_R_squared,proved_in_source
B,defect_exponent,1/640,0.0015625,L_squared_exponent,proved_in_source
B,sigma_prefactor,1/32768,0.000030517578125,dimensionless,proved_in_source
B,expulsion_gap,1/640,0.0015625,L_squared_exponent,proved_in_source
C,tail_distance_fraction,1/2,0.5,times_Sigma,proved_in_source
C,tail_denominator,1056,1056,dimensionless,proved_in_source
C,super_rate,1/320,0.003125,L_squared_exponent,proved_in_source
D,bad_path_exponent,1/16,0.0625,L_squared_exponent,proved_in_source
D,annular_weight_gap_G1,2/1323,0.0015117157974300832,L_squared_exponent,inherited
D,bad_event_reserve,24497/423360,0.05786328420256992,L_squared_exponent,proved_in_source
D,raw_bad_R_power,4,4,R_exponent,proved_in_source
D,raw_good_R_power,3,3,R_exponent,proved_in_source
D,target_R_power,5,5,R_exponent,proved_in_source
