panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,centre-left,symmetric_Q_corridor,-1,-0.38581913305030208,normalized_endpoint,Q_over_r,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.14-U.20; L=9216
A,centre-zero,symmetric_Q_corridor,0,0,normalized_endpoint,Q_over_r,exact-analytic-schematic,"core d74e7b29, equations (U.11)-(U.45)",Q_i(tau_i)=0
A,centre-right,symmetric_Q_corridor,1,0.38581913305030208,normalized_endpoint,Q_over_r,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.14-U.20; L=9216
A,slab-start,terminal_slab,64,0,t_over_R_squared,set_boundary,exact-analytic-schematic,"core d74e7b29, equations (U.11)-(U.45)",equation-U.5
A,slab-end,terminal_slab,65,0,t_over_R_squared,set_boundary,exact-analytic-schematic,"core d74e7b29, equations (U.11)-(U.45)",equation-U.5
A,uniform-one-side-allowance,slab_truncation_lower,0,14.4,constant_index,coefficient_of_LR3,exact-rational,"core d74e7b29, equations (U.11)-(U.45)",equations-U.22-U.23
B,speed-R,speed_Q_prime,0,-2,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",Q_i' has R exponent -2
B,inverse-speed-R,reciprocal_speed,1,2,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",1/Q_i' has R exponent 2
B,room-L,horizontal_room,2,1,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",A(L_i)L_iR has L_i exponent 1
B,room-R,horizontal_room,3,1,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",A(L_i)L_iR has R exponent 1
B,residence-L,residence_scale,4,1,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",room times reciprocal speed
B,residence-R,residence_scale,5,3,ledger_index,monomial_exponent,exact-algebra,"core d74e7b29, equations (U.11)-(U.45)",room times reciprocal speed
C,geometry-lower,certified_geometric_corridor,0,14.4,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",equation-U.23; non-strict lower
C,geometry-upper,certified_geometric_corridor,1,341.33333333333331,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",equation-U.24; strict upper
C,inclusion,corridor_subset_K_superlevel,2,1,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",equation-U.35; proved inclusion
C,K-lower,full_K_superlevel,3,14.4,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",equation-U.35; lower measure only
C,K-converse,full_K_superlevel,4,0,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",converse inclusion not proved
C,K-upper,full_K_superlevel,5,0,claim_index,coefficient_or_truth_flag,exact-analytic-claim-boundary,"core d74e7b29, equations (U.11)-(U.45)",upper residence bound not proved
D,certified-lower-000,log10_theta_cert_lower,9216,5.4239349538383674,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-000,log10_theta_necessary_upper_C_equals_1,9216,-248946.71268320954,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-000,log10_lower_over_upper,9216,248952.13661816338,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-001,log10_theta_cert_lower,9305.8666666666668,5.4281493134821881,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-001,log10_theta_necessary_upper_C_equals_1,9305.8666666666668,-253825.38717138805,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-001,log10_lower_over_upper,9305.8666666666668,253830.81532070151,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-002,log10_theta_cert_lower,9395.7333333333336,5.4323231700340955,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-002,log10_theta_necessary_upper_C_equals_1,9395.7333333333336,-258751.40352256357,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-002,log10_lower_over_upper,9395.7333333333336,258756.83584573359,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-003,log10_theta_cert_lower,9485.6000000000004,5.4364572946178322,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-003,log10_theta_necessary_upper_C_equals_1,9485.6000000000004,-263724.76173712168,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-003,log10_lower_over_upper,9485.6000000000004,263730.1981944163,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-004,log10_theta_cert_lower,9575.4666666666672,5.4405524365429194,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-004,log10_theta_necessary_upper_C_equals_1,9575.4666666666672,-268745.46181543695,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-004,log10_lower_over_upper,9575.4666666666672,268750.90236787352,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-005,log10_theta_cert_lower,9665.3333333333339,5.4446093241197655,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-005,log10_theta_necessary_upper_C_equals_1,9665.3333333333339,-273813.50375787355,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
D,log-gap-005,log10_lower_over_upper,9665.3333333333339,273818.94836719771,L_1,log10_ratio,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equations-U.36-U.41; exact logarithmic difference
D,certified-lower-006,log10_theta_cert_lower,9755.2000000000007,5.4486286654370746,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)","equation-U.36; theta_cert,2 >= (72/5)L_2; L_2=2L_1"
D,necessary-upper-006,log10_theta_necessary_upper_C_equals_1,9755.2000000000007,-278928.8875647856,L_1,log10_normalized_dwell,derived-analytic-value,"core d74e7b29, equations (U.11)-(U.45)",equation-U.40; d_L=log(L_1); C=1
